DATE,TICKERS
1994-10-01,"ES0177542018,GB0000044551,GB0000152198,GB0000444736,GB0000492412,GB0000572007,GB0000673409,GB0000764547,GB0001081206,GB0001356566,GB0001762680,GB0002284825,GB0002374006,GB0002395811,GB0002431954,GB0002598570,GB0002634946,GB0002707957,GB0002721339,GB0002875804,GB0002909082,GB0002922051,GB0002930377,GB0003013389,GB0003188660,GB0003419255,GB0003685376,GB0003819322,GB0003863023,GB0004004957,GB0004082847,GB0004437462,GB0004594973,GB0005603997,GB0005669444,GB0005806103,GB0006253958,GB0006320161,GB0006731235,GB0006776081,GB0006800485,GB0007099541,GB0007188757,GB0007266413,GB0007287005,GB0007294571,GB0007552143,GB0007839698,GB0007980591,GB0008195181,GB0008286774,GB0008686734,GB0008706128,GB0008762899,GB0008774316,GB0008962655,GB0009058040,GB0009223206,GB0009472936,GB0009654111,GB0009895292,GB0030646508,GB0030913577,GB0031274896,GB0031348658,GB0033195214,GB0033516088,GB0033986497,GB00B019KW72,GB00B03MM408,GB00B082RF11,GB00B0P7Y252,GB00B0ZSH635,GB00B10RZP78,GB00B125RK88,GB00B127GF29,GB00B19NLV48,GB00B1FH8J72,GB00B1KJJ408,GB00B1L5QH97,GB00B1YW4409,GB00B24CGK77,GB00B29MWZ99,GB00B2B0DG97,GB00B2PF6M70,GB00B39J2M42,GB00B3DGH821,GB00B5KKT968,GB00B61TVQ02,GB00B63H8491,GB00B979H674,GB00BH4HKS39,GB00BKKMKR23,GB00BLGZ9862,GB00BM8PJY71,GB00BMHTPY25,GB00BN7SWP63,GB00BP9LHF23,GB00BPQY8M80,GB00BYW0PQ60,US31488V1070"
1994-11-01,"ES0177542018,GB0000044551,GB0000152198,GB0000444736,GB0000492412,GB0000572007,GB0000673409,GB0000764547,GB0001081206,GB0001356566,GB0001762680,GB0002284825,GB0002374006,GB0002395811,GB0002431954,GB0002598570,GB0002634946,GB0002707957,GB0002721339,GB0002875804,GB0002909082,GB0002922051,GB0002930377,GB0003013389,GB0003188660,GB0003419255,GB0003685376,GB0003819322,GB0003863023,GB0004004957,GB0004082847,GB0004437462,GB0004594973,GB0005603997,GB0005669444,GB0005806103,GB0006253958,GB0006320161,GB0006731235,GB0006776081,GB0006800485,GB0007099541,GB0007188757,GB0007266413,GB0007287005,GB0007294571,GB0007552143,GB0007839698,GB0007980591,GB0008195181,GB0008286774,GB0008686734,GB0008706128,GB0008762899,GB0008774316,GB0008962655,GB0009058040,GB0009223206,GB0009472936,GB0009654111,GB0009895292,GB0030646508,GB0030913577,GB0031274896,GB0031348658,GB0033195214,GB0033516088,GB0033986497,GB00B019KW72,GB00B03MM408,GB00B082RF11,GB00B0P7Y252,GB00B0ZSH635,GB00B10RZP78,GB00B125RK88,GB00B127GF29,GB00B19NLV48,GB00B1FH8J72,GB00B1KJJ408,GB00B1L5QH97,GB00B1YW4409,GB00B24CGK77,GB00B29MWZ99,GB00B2B0DG97,GB00B2PF6M70,GB00B39J2M42,GB00B3DGH821,GB00B5KKT968,GB00B61TVQ02,GB00B63H8491,GB00B979H674,GB00BH4HKS39,GB00BKKMKR23,GB00BLGZ9862,GB00BM8PJY71,GB00BMHTPY25,GB00BN7SWP63,GB00BP9LHF23,GB00BPQY8M80,GB00BYW0PQ60,US31488V1070"
1994-12-01,"ES0177542018,GB0000044551,GB0000152198,GB0000444736,GB0000492412,GB0000572007,GB0000673409,GB0000764547,GB0001081206,GB0001356566,GB0001762680,GB0002284825,GB0002374006,GB0002395811,GB0002431954,GB0002598570,GB0002634946,GB0002707957,GB0002721339,GB0002875804,GB0002909082,GB0002922051,GB0002930377,GB0003013389,GB0003188660,GB0003419255,GB0003685376,GB0003819322,GB0003863023,GB0004004957,GB0004082847,GB0004437462,GB0004594973,GB0005603997,GB0005669444,GB0005806103,GB0006253958,GB0006320161,GB0006731235,GB0006776081,GB0006800485,GB0007099541,GB0007188757,GB0007266413,GB0007287005,GB0007294571,GB0007552143,GB0007839698,GB0007980591,GB0008195181,GB0008286774,GB0008686734,GB0008706128,GB0008762899,GB0008774316,GB0008962655,GB0009058040,GB0009223206,GB0009472936,GB0009654111,GB0009895292,GB0030646508,GB0030913577,GB0031274896,GB0031348658,GB0033195214,GB0033516088,GB0033986497,GB00B019KW72,GB00B03MM408,GB00B082RF11,GB00B0P7Y252,GB00B0ZSH635,GB00B10RZP78,GB00B125RK88,GB00B127GF29,GB00B19NLV48,GB00B1FH8J72,GB00B1KJJ408,GB00B1L5QH97,GB00B1YW4409,GB00B24CGK77,GB00B29MWZ99,GB00B2B0DG97,GB00B2PF6M70,GB00B39J2M42,GB00B3DGH821,GB00B5KKT968,GB00B61TVQ02,GB00B63H8491,GB00B979H674,GB00BH4HKS39,GB00BKKMKR23,GB00BLGZ9862,GB00BM8PJY71,GB00BMHTPY25,GB00BN7SWP63,GB00BP9LHF23,GB00BPQY8M80,GB00BYW0PQ60,US31488V1070"
1995-01-01,"ES0177542018,GB0000044551,GB0000152198,GB0000444736,GB0000492412,GB0000572007,GB0000673409,GB0000764547,GB0001081206,GB0001356566,GB0001762680,GB0002284825,GB0002374006,GB0002395811,GB0002431954,GB0002598570,GB0002634946,GB0002707957,GB0002721339,GB0002875804,GB0002909082,GB0002922051,GB0002930377,GB0003013389,GB0003188660,GB0003419255,GB0003685376,GB0003819322,GB0003863023,GB0004004957,GB0004082847,GB0004437462,GB0004594973,GB0005603997,GB0005669444,GB0005806103,GB0006253958,GB0006320161,GB0006731235,GB0006776081,GB0006800485,GB0007099541,GB0007188757,GB0007266413,GB0007287005,GB0007294571,GB0007552143,GB0007839698,GB0007980591,GB0008195181,GB0008286774,GB0008686734,GB0008706128,GB0008762899,GB0008774316,GB0008962655,GB0009058040,GB0009223206,GB0009472936,GB0009654111,GB0009895292,GB0030646508,GB0030913577,GB0031274896,GB0031348658,GB0033195214,GB0033516088,GB0033986497,GB00B019KW72,GB00B03MM408,GB00B082RF11,GB00B0P7Y252,GB00B0ZSH635,GB00B10RZP78,GB00B125RK88,GB00B127GF29,GB00B19NLV48,GB00B1FH8J72,GB00B1KJJ408,GB00B1L5QH97,GB00B1YW4409,GB00B24CGK77,GB00B29MWZ99,GB00B2B0DG97,GB00B2PF6M70,GB00B39J2M42,GB00B3DGH821,GB00B5KKT968,GB00B61TVQ02,GB00B63H8491,GB00B979H674,GB00BH4HKS39,GB00BKKMKR23,GB00BLGZ9862,GB00BM8PJY71,GB00BMHTPY25,GB00BN7SWP63,GB00BP9LHF23,GB00BPQY8M80,GB00BYW0PQ60,US31488V1070"
1995-02-01,"ES0177542018,GB0000044551,GB0000152198,GB0000444736,GB0000492412,GB0000572007,GB0000673409,GB0000764547,GB0001081206,GB0001356566,GB0001762680,GB0002284825,GB0002374006,GB0002395811,GB0002431954,GB0002598570,GB0002634946,GB0002707957,GB0002721339,GB0002875804,GB0002909082,GB0002922051,GB0002930377,GB0003013389,GB0003188660,GB0003419255,GB0003685376,GB0003819322,GB0003863023,GB0004004957,GB0004082847,GB0004437462,GB0004594973,GB0005603997,GB0005669444,GB0005806103,GB0006253958,GB0006320161,GB0006731235,GB0006776081,GB0006800485,GB0007099541,GB0007188757,GB0007266413,GB0007287005,GB0007294571,GB0007552143,GB0007839698,GB0007980591,GB0008195181,GB0008286774,GB0008686734,GB0008706128,GB0008762899,GB0008774316,GB0008962655,GB0009058040,GB0009223206,GB0009472936,GB0009654111,GB0009895292,GB0030646508,GB0030913577,GB0031274896,GB0031348658,GB0033195214,GB0033516088,GB0033986497,GB00B019KW72,GB00B03MM408,GB00B082RF11,GB00B0P7Y252,GB00B0ZSH635,GB00B10RZP78,GB00B125RK88,GB00B127GF29,GB00B19NLV48,GB00B1FH8J72,GB00B1KJJ408,GB00B1L5QH97,GB00B1YW4409,GB00B24CGK77,GB00B29MWZ99,GB00B2B0DG97,GB00B2PF6M70,GB00B39J2M42,GB00B3DGH821,GB00B5KKT968,GB00B61TVQ02,GB00B63H8491,GB00B979H674,GB00BH4HKS39,GB00BKKMKR23,GB00BLGZ9862,GB00BM8PJY71,GB00BMHTPY25,GB00BN7SWP63,GB00BP9LHF23,GB00BPQY8M80,GB00BYW0PQ60,US31488V1070"
1995-03-01,"ES0177542018,GB0000044551,GB0000152198,GB0000444736,GB0000492412,GB0000572007,GB0000673409,GB0000764547,GB0001081206,GB0001356566,GB0001762680,GB0002284825,GB0002374006,GB0002395811,GB0002431954,GB0002598570,GB0002634946,GB0002707957,GB0002721339,GB0002875804,GB0002909082,GB0002922051,GB0002930377,GB0003013389,GB0003188660,GB0003419255,GB0003685376,GB0003819322,GB0003863023,GB0004004957,GB0004082847,GB0004437462,GB0004594973,GB0005603997,GB0005669444,GB0005806103,GB0006253958,GB0006320161,GB0006731235,GB0006776081,GB0006800485,GB0007099541,GB0007188757,GB0007266413,GB0007287005,GB0007294571,GB0007552143,GB0007839698,GB0007980591,GB0008195181,GB0008286774,GB0008686734,GB0008706128,GB0008762899,GB0008774316,GB0008962655,GB0009058040,GB0009223206,GB0009472936,GB0009654111,GB0009895292,GB0030646508,GB0030913577,GB0031274896,GB0031348658,GB0033195214,GB0033516088,GB0033986497,GB00B019KW72,GB00B03MM408,GB00B082RF11,GB00B0P7Y252,GB00B0ZSH635,GB00B10RZP78,GB00B125RK88,GB00B127GF29,GB00B19NLV48,GB00B1FH8J72,GB00B1KJJ408,GB00B1L5QH97,GB00B1YW4409,GB00B24CGK77,GB00B29MWZ99,GB00B2B0DG97,GB00B2PF6M70,GB00B39J2M42,GB00B3DGH821,GB00B5KKT968,GB00B61TVQ02,GB00B63H8491,GB00B979H674,GB00BH4HKS39,GB00BKKMKR23,GB00BLGZ9862,GB00BM8PJY71,GB00BMHTPY25,GB00BN7SWP63,GB00BP9LHF23,GB00BPQY8M80,GB00BYW0PQ60,US31488V1070"
1995-04-01,"ES0177542018,GB0000044551,GB0000152198,GB0000444736,GB0000492412,GB0000572007,GB0000673409,GB0000764547,GB0001081206,GB0001356566,GB0001762680,GB0002284825,GB0002374006,GB0002395811,GB0002431954,GB0002598570,GB0002634946,GB0002707957,GB0002721339,GB0002875804,GB0002909082,GB0002922051,GB0002930377,GB0003013389,GB0003188660,GB0003419255,GB0003685376,GB0003819322,GB0003863023,GB0004004957,GB0004082847,GB0004437462,GB0004594973,GB0005603997,GB0005669444,GB0005806103,GB0006253958,GB0006320161,GB0006731235,GB0006776081,GB0006800485,GB0007099541,GB0007188757,GB0007266413,GB0007287005,GB0007294571,GB0007552143,GB0007839698,GB0007980591,GB0008195181,GB0008286774,GB0008686734,GB0008706128,GB0008762899,GB0008774316,GB0008962655,GB0009058040,GB0009223206,GB0009654111,GB0009895292,GB0030646508,GB0030913577,GB0031274896,GB0031348658,GB0033195214,GB0033516088,GB0033986497,GB00B019KW72,GB00B03MM408,GB00B082RF11,GB00B0P7Y252,GB00B0ZSH635,GB00B10RZP78,GB00B125RK88,GB00B127GF29,GB00B19NLV48,GB00B1FH8J72,GB00B1KJJ408,GB00B1L5QH97,GB00B1YW4409,GB00B24CGK77,GB00B29MWZ99,GB00B2B0DG97,GB00B2PF6M70,GB00B39J2M42,GB00B3DGH821,GB00B5KKT968,GB00B61TVQ02,GB00B63H8491,GB00B979H674,GB00BH4HKS39,GB00BKKMKR23,GB00BLGZ9862,GB00BM8PJY71,GB00BMHTPY25,GB00BN7SWP63,GB00BP92CJ43,GB00BP9LHF23,GB00BPQY8M80,GB00BYW0PQ60,US31488V1070"
1995-05-01,"ES0177542018,GB0000044551,GB0000152198,GB0000444736,GB0000492412,GB0000572007,GB0000673409,GB0000764547,GB0001081206,GB0001356566,GB0001762680,GB0002284825,GB0002374006,GB0002395811,GB0002431954,GB0002598570,GB0002634946,GB0002707957,GB0002721339,GB0002875804,GB0002909082,GB0002922051,GB0002930377,GB0003013389,GB0003188660,GB0003419255,GB0003685376,GB0003819322,GB0003863023,GB0004004957,GB0004082847,GB0004437462,GB0004594973,GB0005603997,GB0005669444,GB0005806103,GB0006253958,GB0006320161,GB0006731235,GB0006776081,GB0006800485,GB0007099541,GB0007188757,GB0007266413,GB0007287005,GB0007294571,GB0007552143,GB0007839698,GB0007980591,GB0008195181,GB0008286774,GB0008686734,GB0008706128,GB0008762899,GB0008774316,GB0008962655,GB0009058040,GB0009223206,GB0009654111,GB0009895292,GB0030646508,GB0030913577,GB0031274896,GB0031348658,GB0033195214,GB0033516088,GB0033986497,GB00B019KW72,GB00B03MM408,GB00B082RF11,GB00B0P7Y252,GB00B0ZSH635,GB00B10RZP78,GB00B125RK88,GB00B127GF29,GB00B19NLV48,GB00B1FH8J72,GB00B1KJJ408,GB00B1L5QH97,GB00B1YW4409,GB00B24CGK77,GB00B29MWZ99,GB00B2B0DG97,GB00B2PF6M70,GB00B39J2M42,GB00B3DGH821,GB00B5KKT968,GB00B61TVQ02,GB00B63H8491,GB00B979H674,GB00BH4HKS39,GB00BKKMKR23,GB00BLGZ9862,GB00BM8PJY71,GB00BMHTPY25,GB00BN7SWP63,GB00BP92CJ43,GB00BP9LHF23,GB00BPQY8M80,GB00BYW0PQ60,US31488V1070"
1995-06-01,"ES0177542018,GB0000044551,GB0000152198,GB0000444736,GB0000492412,GB0000572007,GB0000673409,GB0000764547,GB0001081206,GB0001356566,GB0001762680,GB0002284825,GB0002374006,GB0002395811,GB0002431954,GB0002598570,GB0002634946,GB0002707957,GB0002721339,GB0002875804,GB0002909082,GB0002922051,GB0002930377,GB0003013389,GB0003188660,GB0003419255,GB0003685376,GB0003819322,GB0003863023,GB0004004957,GB0004082847,GB0004437462,GB0004594973,GB0005603997,GB0005669444,GB0005806103,GB0006253958,GB0006320161,GB0006731235,GB0006776081,GB0006800485,GB0007099541,GB0007188757,GB0007266413,GB0007287005,GB0007294571,GB0007552143,GB0007839698,GB0007980591,GB0008195181,GB0008286774,GB0008686734,GB0008706128,GB0008762899,GB0008774316,GB0008962655,GB0009058040,GB0009223206,GB0009654111,GB0009895292,GB0030646508,GB0030913577,GB0031274896,GB0031348658,GB0033195214,GB0033516088,GB0033986497,GB00B019KW72,GB00B03MM408,GB00B082RF11,GB00B0P7Y252,GB00B0ZSH635,GB00B10RZP78,GB00B125RK88,GB00B127GF29,GB00B19NLV48,GB00B1FH8J72,GB00B1KJJ408,GB00B1L5QH97,GB00B1YW4409,GB00B24CGK77,GB00B29MWZ99,GB00B2B0DG97,GB00B2PF6M70,GB00B39J2M42,GB00B3DGH821,GB00B5KKT968,GB00B61TVQ02,GB00B63H8491,GB00B979H674,GB00BH4HKS39,GB00BKKMKR23,GB00BLGZ9862,GB00BM8PJY71,GB00BMHTPY25,GB00BN7SWP63,GB00BP92CJ43,GB00BP9LHF23,GB00BPQY8M80,GB00BYW0PQ60,US31488V1070"
1995-07-01,"ES0177542018,GB0000044551,GB0000152198,GB0000444736,GB0000492412,GB0000572007,GB0000673409,GB0000764547,GB0001081206,GB0001356566,GB0001762680,GB0002284825,GB0002374006,GB0002395811,GB0002431954,GB0002598570,GB0002634946,GB0002707957,GB0002721339,GB0002875804,GB0002909082,GB0002922051,GB0002930377,GB0003013389,GB0003188660,GB0003419255,GB0003685376,GB0003819322,GB0003863023,GB0004004957,GB0004082847,GB0004437462,GB0004594973,GB0005603997,GB0005669444,GB0005806103,GB0006253958,GB0006320161,GB0006731235,GB0006776081,GB0006800485,GB0007099541,GB0007188757,GB0007266413,GB0007287005,GB0007294571,GB0007552143,GB0007839698,GB0007980591,GB0008195181,GB0008286774,GB0008686734,GB0008706128,GB0008762899,GB0008774316,GB0008962655,GB0009058040,GB0009223206,GB0009654111,GB0009895292,GB0030646508,GB0030913577,GB0031274896,GB0031348658,GB0033195214,GB0033516088,GB0033986497,GB00B019KW72,GB00B03MM408,GB00B082RF11,GB00B0P7Y252,GB00B0ZSH635,GB00B10RZP78,GB00B125RK88,GB00B127GF29,GB00B19NLV48,GB00B1FH8J72,GB00B1KJJ408,GB00B1L5QH97,GB00B1YW4409,GB00B24CGK77,GB00B29MWZ99,GB00B2B0DG97,GB00B2PF6M70,GB00B39J2M42,GB00B3DGH821,GB00B5KKT968,GB00B61TVQ02,GB00B63H8491,GB00B979H674,GB00BH4HKS39,GB00BKKMKR23,GB00BLGZ9862,GB00BM8PJY71,GB00BMHTPY25,GB00BN7SWP63,GB00BP92CJ43,GB00BP9LHF23,GB00BPQY8M80,GB00BYW0PQ60,US31488V1070"
