DATE,TICKERS
1994-01-01,"BMG4069C1486,BMG507361001,BMG507641022,GB0005405286,HK0000051067,HK0000139300,HK0000356805,HK0000608585,HK0001000014,HK0002007356,HK0003000038,HK0004000045,HK0006000050,HK0008011667,HK0010000088,HK0011000095,HK0012000102,HK0013000119,HK0014000126,HK0016000132,HK0019000162,HK0020000177,HK0023000190,HK0044000302,HK0045000319,HK0071000456,HK0098000588,HK0242001243,HK0267001375,HK0293001514"
1994-02-01,"BMG4069C1486,BMG507361001,BMG507641022,GB0005405286,HK0000051067,HK0000139300,HK0000356805,HK0000608585,HK0001000014,HK0002007356,HK0003000038,HK0004000045,HK0006000050,HK0008011667,HK0010000088,HK0011000095,HK0012000102,HK0013000119,HK0014000126,HK0016000132,HK0019000162,HK0020000177,HK0023000190,HK0044000302,HK0045000319,HK0071000456,HK0098000588,HK0242001243,HK0267001375,HK0293001514"
1994-03-01,"BMG4069C1486,BMG507361001,BMG507641022,GB0005405286,HK0000051067,HK0000139300,HK0000356805,HK0000608585,HK0001000014,HK0002007356,HK0003000038,HK0004000045,HK0006000050,HK0008011667,HK0010000088,HK0011000095,HK0012000102,HK0013000119,HK0014000126,HK0016000132,HK0019000162,HK0020000177,HK0023000190,HK0044000302,HK0045000319,HK0071000456,HK0098000588,HK0242001243,HK0267001375,HK0293001514"
1994-04-01,"BMG4069C1486,BMG507361001,BMG507641022,GB0005405286,HK0000051067,HK0000139300,HK0000356805,HK0000608585,HK0001000014,HK0002007356,HK0003000038,HK0004000045,HK0006000050,HK0008011667,HK0010000088,HK0011000095,HK0012000102,HK0013000119,HK0014000126,HK0016000132,HK0019000162,HK0020000177,HK0023000190,HK0044000302,HK0045000319,HK0071000456,HK0098000588,HK0242001243,HK0267001375,HK0293001514"
1994-05-01,"BMG4069C1486,BMG507361001,BMG507641022,GB0005405286,HK0000051067,HK0000139300,HK0000356805,HK0000608585,HK0001000014,HK0002007356,HK0003000038,HK0004000045,HK0006000050,HK0008011667,HK0010000088,HK0011000095,HK0012000102,HK0013000119,HK0014000126,HK0016000132,HK0019000162,HK0020000177,HK0023000190,HK0044000302,HK0045000319,HK0071000456,HK0098000588,HK0242001243,HK0267001375,HK0293001514"
1994-06-01,"BMG4069C1486,BMG507361001,BMG507641022,GB0005405286,HK0000051067,HK0000139300,HK0000356805,HK0000608585,HK0001000014,HK0002007356,HK0003000038,HK0004000045,HK0006000050,HK0008011667,HK0010000088,HK0011000095,HK0012000102,HK0013000119,HK0014000126,HK0016000132,HK0019000162,HK0020000177,HK0023000190,HK0044000302,HK0045000319,HK0071000456,HK0098000588,HK0242001243,HK0267001375,HK0293001514"
1994-07-01,"BMG4069C1486,BMG507361001,BMG507641022,GB0005405286,HK0000051067,HK0000139300,HK0000356805,HK0000608585,HK0001000014,HK0002007356,HK0003000038,HK0004000045,HK0006000050,HK0008011667,HK0010000088,HK0011000095,HK0012000102,HK0013000119,HK0014000126,HK0016000132,HK0019000162,HK0020000177,HK0023000190,HK0044000302,HK0045000319,HK0071000456,HK0098000588,HK0242001243,HK0267001375,HK0293001514"
1994-08-01,"BMG4069C1486,BMG507361001,BMG507641022,GB0005405286,HK0000051067,HK0000139300,HK0000356805,HK0000608585,HK0001000014,HK0002007356,HK0003000038,HK0004000045,HK0006000050,HK0008011667,HK0010000088,HK0011000095,HK0012000102,HK0013000119,HK0014000126,HK0016000132,HK0019000162,HK0020000177,HK0023000190,HK0044000302,HK0045000319,HK0071000456,HK0098000588,HK0242001243,HK0267001375,HK0293001514"
1994-09-01,"BMG4069C1486,BMG507361001,BMG507641022,GB0005405286,HK0000051067,HK0000139300,HK0000356805,HK0000608585,HK0001000014,HK0002007356,HK0003000038,HK0004000045,HK0006000050,HK0008011667,HK0010000088,HK0011000095,HK0012000102,HK0013000119,HK0014000126,HK0016000132,HK0019000162,HK0020000177,HK0023000190,HK0044000302,HK0045000319,HK0071000456,HK0098000588,HK0242001243,HK0267001375,HK0293001514"
1994-10-01,"BMG4069C1486,BMG507361001,BMG507641022,GB0005405286,HK0000051067,HK0000139300,HK0000356805,HK0000608585,HK0001000014,HK0002007356,HK0003000038,HK0004000045,HK0006000050,HK0008011667,HK0010000088,HK0011000095,HK0012000102,HK0013000119,HK0014000126,HK0016000132,HK0019000162,HK0020000177,HK0023000190,HK0044000302,HK0045000319,HK0071000456,HK0098000588,HK0242001243,HK0267001375,HK0293001514"
