DATE,TICKERS
1998-09-01,"BE0003564722,BE0003637486,BE0974264930,BMG0112X1056,DE0005140008,DE0005500003,DE0005557508,DE0006560303,DE0007037129,DE0007236101,DE0007257503,DE0008232125,DE0008404005,DE000BAY0017,DE000ENAG999,ES0113211835,ES0130670112,ES0173516115,ES0178430E18,FI0009000681,FR0000120073,FR0000120172,FR0000120321,FR0000120420,FR0000120628,FR0000121014,FR0000121972,FR0000125007,FR0000127771,FR0000130007,FR0000130460,FR0000130809,FR0000133308,FR0004011534,IE00BF0L3536,IT0000062072,IT0001127429,IT0003132476,IT0005239360,NL0000009082,NL0000009355,NL0000009470,NL0000009538,NL0000301109,NL0006144495,NL0011794037,NL0011821202,NL0013267909,NL00150001Q9,PTPTC0AM0009"
1998-10-01,"BE0003564722,BE0003637486,BE0974264930,BMG0112X1056,DE0005140008,DE0005500003,DE0005557508,DE0006560303,DE0007037129,DE0007236101,DE0007257503,DE0008232125,DE0008404005,DE000BAY0017,DE000ENAG999,ES0113211835,ES0130670112,ES0173516115,ES0178430E18,FI0009000681,FR0000120073,FR0000120172,FR0000120321,FR0000120420,FR0000120628,FR0000121014,FR0000121972,FR0000125007,FR0000127771,FR0000130007,FR0000130460,FR0000130809,FR0000133308,FR0004011534,IE00BF0L3536,IT0000062072,IT0001127429,IT0003132476,IT0005239360,NL0000009082,NL0000009355,NL0000009470,NL0000009538,NL0000301109,NL0006144495,NL0011794037,NL0011821202,NL0013267909,NL00150001Q9,PTPTC0AM0009"
1998-11-01,"BE0003564722,BE0003637486,BE0974264930,BMG0112X1056,DE0005140008,DE0005500094,DE0005557508,DE0006560303,DE0007037129,DE0007236101,DE0007257503,DE0008232125,DE0008404005,DE000BAY0017,DE000ENAG999,ES0113211835,ES0130670112,ES0173516115,ES0178430E18,FI0009000681,FR0000120073,FR0000120172,FR0000120321,FR0000120420,FR0000120628,FR0000121014,FR0000121972,FR0000125007,FR0000127771,FR0000130007,FR0000130460,FR0000130809,FR0000133308,FR0004011534,IE00BF0L3536,IT0000062072,IT0001127429,IT0003132476,IT0005239360,NL0000009082,NL0000009355,NL0000009470,NL0000009538,NL0000301109,NL0006144495,NL0011794037,NL0011821202,NL0013267909,NL00150001Q9,PTPTC0AM0009"
1998-12-01,"BE0003564722,BE0003637486,BE0974264930,BMG0112X1056,DE0005140008,DE0005557508,DE0006560303,DE0007037129,DE0007100000,DE0007236101,DE0007257503,DE0008232125,DE0008404005,DE000BAY0017,DE000ENAG999,ES0113211835,ES0130670112,ES0173516115,ES0178430E18,FI0009000681,FR0000120073,FR0000120172,FR0000120321,FR0000120420,FR0000120628,FR0000121014,FR0000121972,FR0000125007,FR0000127771,FR0000130007,FR0000130460,FR0000130809,FR0000133308,FR0004011534,IE00BF0L3536,IT0000062072,IT0001127429,IT0003132476,IT0005239360,NL0000009082,NL0000009355,NL0000009470,NL0000009538,NL0000301109,NL0006144495,NL0011794037,NL0011821202,NL0013267909,NL00150001Q9,PTPTC0AM0009"
1999-01-01,"BE0003564722,BE0003637486,BE0974264930,BMG0112X1056,DE0005140008,DE0005557508,DE0006560303,DE0007037129,DE0007100000,DE0007236101,DE0007257503,DE0008232125,DE0008404005,DE000BAY0017,DE000ENAG999,ES0113211835,ES0130670112,ES0173516115,ES0178430E18,FI0009000681,FR0000120073,FR0000120172,FR0000120321,FR0000120420,FR0000120628,FR0000121014,FR0000121972,FR0000125007,FR0000127771,FR0000130007,FR0000130460,FR0000130809,FR0000133308,FR0004011534,IE00BF0L3536,IT0000062072,IT0001127429,IT0003132476,IT0005239360,NL0000009082,NL0000009355,NL0000009470,NL0000009538,NL0000301109,NL0006144495,NL0011794037,NL0011821202,NL0013267909,NL00150001Q9,PTPTC0AM0009"
1999-02-01,"BE0003564722,BE0003637486,BE0974264930,BMG0112X1056,DE0005140008,DE0005557508,DE0006560303,DE0007037129,DE0007100000,DE0007236101,DE0007257503,DE0008232125,DE0008404005,DE000BAY0017,DE000ENAG999,ES0113211835,ES0130670112,ES0173516115,ES0178430E18,FI0009000681,FR0000120073,FR0000120172,FR0000120321,FR0000120420,FR0000120628,FR0000121014,FR0000121972,FR0000125007,FR0000127771,FR0000130007,FR0000130460,FR0000130809,FR0000133308,FR0004011534,IE00BF0L3536,IT0000062072,IT0001127429,IT0003132476,IT0005239360,NL0000009082,NL0000009355,NL0000009470,NL0000009538,NL0000301109,NL0006144495,NL0011794037,NL0011821202,NL0013267909,NL00150001Q9,PTPTC0AM0009"
1999-03-01,"BE0003564722,BE0003637486,BE0974264930,BMG0112X1056,DE0005140008,DE0005557508,DE0006560303,DE0007037129,DE0007100000,DE0007236101,DE0007257503,DE0008232125,DE0008404005,DE000BAY0017,DE000ENAG999,ES0113211835,ES0130670112,ES0173516115,ES0178430E18,FI0009000681,FR0000120073,FR0000120172,FR0000120321,FR0000120420,FR0000120628,FR0000121014,FR0000121972,FR0000125007,FR0000127771,FR0000130007,FR0000130460,FR0000130809,FR0000133308,FR0004011534,IE00BF0L3536,IT0000062072,IT0001127429,IT0003132476,IT0005239360,NL0000009082,NL0000009355,NL0000009470,NL0000009538,NL0000301109,NL0006144495,NL0011794037,NL0011821202,NL0013267909,NL00150001Q9,PTPTC0AM0009"
1999-04-01,"BE0003564722,BE0003637486,BE0974264930,BMG0112X1056,DE0005140008,DE0005557508,DE0006560303,DE0007037129,DE0007100000,DE0007236101,DE0007257503,DE0008232125,DE0008404005,DE000BAY0017,DE000ENAG999,ES0113211835,ES0130670112,ES0173516115,ES0178430E18,FI0009000681,FR0000120073,FR0000120172,FR0000120321,FR0000120420,FR0000120628,FR0000121014,FR0000121972,FR0000125007,FR0000127771,FR0000130007,FR0000130460,FR0000130809,FR0000133308,FR0004011534,IE00BF0L3536,IT0000062072,IT0001127429,IT0003132476,IT0005239360,NL0000009082,NL0000009355,NL0000009470,NL0000009538,NL0000301109,NL0006144495,NL0011794037,NL0011821202,NL0013267909,NL00150001Q9,PTPTC0AM0009"
1999-05-01,"BE0003564722,BE0003637486,BE0974264930,BMG0112X1056,DE0005140008,DE0005557508,DE0006560303,DE0007037129,DE0007100000,DE0007236101,DE0007257503,DE0008232125,DE0008404005,DE000BAY0017,DE000ENAG999,ES0113211835,ES0130670112,ES0173516115,ES0178430E18,FI0009000681,FR0000120073,FR0000120172,FR0000120321,FR0000120420,FR0000120628,FR0000121014,FR0000121972,FR0000125007,FR0000127771,FR0000130007,FR0000130460,FR0000130809,FR0000133308,FR0004011534,IE00BF0L3536,IT0000062072,IT0001127429,IT0003132476,IT0005239360,NL0000009082,NL0000009355,NL0000009470,NL0000009538,NL0000301109,NL0006144495,NL0011794037,NL0011821202,NL0013267909,NL00150001Q9,PTPTC0AM0009"
1999-06-01,"BE0003564722,BE0003637486,BE0974264930,BMG0112X1056,DE0005140008,DE0005557508,DE0006560303,DE0007037129,DE0007100000,DE0007236101,DE0007257503,DE0008232125,DE0008404005,DE000BAY0017,DE000ENAG999,ES0113211835,ES0130670112,ES0173516115,ES0178430E18,FI0009000681,FR0000120073,FR0000120172,FR0000120321,FR0000120420,FR0000120628,FR0000121014,FR0000121972,FR0000125007,FR0000127771,FR0000130007,FR0000130460,FR0000130809,FR0000133308,FR0004011534,IE00BF0L3536,IT0000062072,IT0001127429,IT0003132476,IT0005239360,NL0000009082,NL0000009355,NL0000009470,NL0000009538,NL0000301109,NL0006144495,NL0011794037,NL0011821202,NL0013267909,NL00150001Q9,PTPTC0AM0009"
