date,STOXX50,FTSE100,HIS,S&P500,3mYIELD
18.03.2005,3053.54,4923.3,13828.37,1189.65,2.735
21.03.2005,3038.14,4933.47,13834.35,1183.78,2.755
22.03.2005,3050.44,4937.26,13776.47,1171.71,2.815
23.03.2005,3036.85,4910.44,13603.61,1172.53,2.765
24.03.2005,3060.67,4922.5,13597.1,1171.42,2.755
25.03.2005,3060.67,4922.5,13597.1,1171.42,2.755
28.03.2005,3060.67,4922.5,13597.1,1174.28,2.775
29.03.2005,3069.35,4918.96,13411.88,1165.36,2.77
30.03.2005,3056.25,4900.74,13425.75,1181.41,2.765
31.03.2005,3055.73,4894.37,13516.88,1180.59,2.715
01.04.2005,3061.11,4914.03,13491.35,1172.92,2.725
04.04.2005,3042.17,4896.74,13513.41,1176.12,2.695
05.04.2005,3064.07,4942.89,13513.41,1181.39,2.73
06.04.2005,3076.23,4947.42,13562.26,1184.07,2.695
07.04.2005,3090.72,4977.01,13602.35,1191.14,2.705
08.04.2005,3088.92,4983.65,13666.72,1181.2,2.72
11.04.2005,3080.6,4973.25,13659.93,1181.21,2.695
12.04.2005,3065.18,4946.19,13658.05,1187.76,2.72
13.04.2005,3080.54,4960.82,13799.62,1173.79,2.715
14.04.2005,3075.33,4945.39,13772.4,1162.05,2.715
15.04.2005,3013.79,4891.62,13638.75,1142.62,2.73
18.04.2005,2947.79,4827.12,13355.23,1145.98,2.865
19.04.2005,2957.37,4855.55,13444.09,1152.78,2.86
20.04.2005,2944.33,4822.04,13501.63,1137.5,2.79
21.04.2005,2950.34,4819.63,13597.31,1159.95,2.815
22.04.2005,2976.39,4849.28,13693.55,1152.12,2.855
25.04.2005,2987.05,4864.88,13750.23,1162.1,2.83
26.04.2005,2983.22,4845.52,13859.58,1151.74,2.85
27.04.2005,2942.62,4789.43,13839.64,1156.38,2.815
28.04.2005,2930.87,4790.19,13909.42,1143.22,2.83
29.04.2005,2930.1,4801.68,13908.97,1156.85,2.83
02.05.2005,2949.09,4801.68,13908.97,1162.16,2.825
03.05.2005,2962.59,4861.25,13893.98,1161.17,2.845
04.05.2005,2981.04,4882.45,13945.05,1175.65,2.775
