COMPANY,RIC,RIC CLEAN,ISIN,GICS SECTOR,DATE,LEAVER_JOINER
DS Smith,SMDS.L^B25 (expired),SMDS.L^B25,GB0008220112,Materials,03.02.2025,-
Polar Capital,PCT.L,PCT.L,GB00BR3YV268,NULL,03.02.2025,+
Alliance Witan,ALWA.L,ALWA.L,GB00B11V7W98,NULL,23.12.2024,+
B&M European,BMEB.L,BMEB.L,LU1072616219,Consumer Discretionary,23.12.2024,-
Frasers Grp,FRAS.L,FRAS.L,GB00B1QH8P22,Consumer Discretionary,23.12.2024,-
Games Workshop,GAW.L,GAW.L,GB0003718474,Consumer Discretionary,23.12.2024,+
St James's Place,SJP.L,SJP.L,GB0007669376,Financials,23.12.2024,+
Vistry Group,VTYV.L,VTYV.L,GB0001859296,Consumer Discretionary,23.12.2024,-
British Land,BLND.L,BLND.L,GB0001367019,Real Estate,01.10.2024,+
Darktrace,DARK.L^J24 (expired),DARK.L^J24,GB00BNYK8G86,Information Technology,01.10.2024,-
Burberry Group,BRBY.L,BRBY.L,GB0031743007,Consumer Discretionary,23.09.2024,-
Hiscox,HSX.L,HSX.L,BMG4593F1389,Financials,23.09.2024,+
Endeavour Ming,EDV.L,EDV.L,GB00BL6K5J42,Materials,08.07.2024,+
Smurfit WestRock,SWR.L,SWR.L,IE00028FXN24,Materials,08.07.2024,-
Darktrace,DARK.L^J24 (expired),DARK.L^J24,GB00BNYK8G86,Information Technology,24.06.2024,+
LondonMetrc Prty,LMPL.L,LMPL.L,GB00B4WFW713,Real Estate,24.06.2024,+
Ocado Group,OCDO.L,OCDO.L,GB00B3MBS747,Consumer Staples,24.06.2024,-
RS Group,RS1R.L,RS1R.L,GB0003096442,Industrials,24.06.2024,-
St James's Place,SJP.L,SJP.L,GB0007669376,Financials,24.06.2024,-
Vistry Group,VTYV.L,VTYV.L,GB0001859296,Consumer Discretionary,24.06.2024,+
Flutter,FLTRF.L,FLTRF.L,IE00BWT6H894,Consumer Discretionary,31.05.2024,-
Hargreaves,HRGV.L,HRGV.L,GB00B1VZ0M25,Financials,31.05.2024,+
easyJet,EZJ.L,EZJ.L,GB00B7KR2P84,Industrials,18.03.2024,+
Endeavour Ming,EDV.L,EDV.L,GB00BL6K5J42,Materials,18.03.2024,-
Dechra Pharms,DPH.L^A24 (expired),DPH.L^A24,GB0009633180,Health Care,16.01.2024,-
Persimmon,PSN.L,PSN.L,GB0006825383,Consumer Discretionary,16.01.2024,+
Hargreaves,HRGV.L,HRGV.L,GB00B1VZ0M25,Financials,18.12.2023,-
Intermediate Cap,ICGIN.L,ICGIN.L,GB00BYT1DJ19,Financials,18.12.2023,+
CRH,CRH.L,CRH.L,IE0001827041,Materials,25.09.2023,-
Howden Joinery,HWDN.L,HWDN.L,GB0005576813,Industrials,25.09.2023,+
Aberdeen Grp,ABDN.L,ABDN.L,GB00BF8Q6K64,Financials,18.09.2023,-
Dechra Pharms,DPH.L^A24 (expired),DPH.L^A24,GB0009633180,Health Care,18.09.2023,+
Diploma,DPLM.L,DPLM.L,GB0001826634,Industrials,18.09.2023,+
Hikma Pharma,HIK.L,HIK.L,GB00B0LCW083,Health Care,18.09.2023,+
Hiscox,HSX.L,HSX.L,BMG4593F1389,Financials,18.09.2023,-
Johnson Matthey,JMAT.L,JMAT.L,GB00BZ4BQC70,Materials,18.09.2023,-
M&S,MKS.L,MKS.L,GB0031274896,Consumer Staples,18.09.2023,+
Persimmon,PSN.L,PSN.L,GB0006825383,Consumer Discretionary,18.09.2023,-
British Land,BLND.L,BLND.L,GB0001367019,Real Estate,19.06.2023,-
IMI,IMI.L,IMI.L,GB00BGLP8L22,Industrials,19.06.2023,+
Dowlais Group,DWL.L,DWL.L,GB00BMWRZ071,Consumer Discretionary,25.04.2023,-
Dowlais Group,DWL.L,DWL.L,GB00BMWRZ071,Consumer Discretionary,20.04.2023,+
AVEVA GROUP,AVV.L^A23 (expired),AVV.L^A23,GB00BBG9VN75,NULL,18.01.2023,-
Hiscox,HSX.L,HSX.L,BMG4593F1389,Financials,18.01.2023,+
Homeserve,HSV.L^A23 (expired),HSV.L^A23,GB00BYYTFB60,NULL,04.01.2023,-
Johnson Matthey,JMAT.L,JMAT.L,GB00BZ4BQC70,Materials,04.01.2023,+
Aberdeen Grp,ABDN.L,ABDN.L,GB00BF8Q6K64,Financials,19.12.2022,+
Beazley,BEZG.L,BEZG.L,GB00BYQ0JC66,Financials,19.12.2022,+
Dechra Pharms,DPH.L^A24 (expired),DPH.L^A24,GB0009633180,Health Care,19.12.2022,-
Harbour Energy,HBR.L,HBR.L,GB00BMBVGQ36,Energy,19.12.2022,-
Intermediate Cap,ICGIN.L,ICGIN.L,GB00BYT1DJ19,Financials,19.12.2022,-
Weir Group,WEIR.L,WEIR.L,GB0009465807,Industrials,19.12.2022,+
Aberdeen Grp,ABDN.L,ABDN.L,GB00BF8Q6K64,Financials,19.09.2022,-
ConvaTec Group,CTEC.L,CTEC.L,GB00BD3VFW73,Health Care,19.09.2022,+
F&C Investment,FCIT.L,FCIT.L,GB0003466074,NULL,19.09.2022,+
Harbour Energy,HBR.L,HBR.L,GB00BMBVGQ36,Energy,19.09.2022,+
Hikma Pharma,HIK.L,HIK.L,GB00B0LCW083,Health Care,19.09.2022,-
Howden Joinery,HWDN.L,HWDN.L,GB0005576813,Industrials,19.09.2022,-
Frasers Grp,FRAS.L,FRAS.L,GB00B1QH8P22,Consumer Discretionary,13.09.2022,+
Meggitt,MGGT.L^I22 (expired),MGGT.L^I22,GB0005758098,Industrials,13.09.2022,-
Avast,AVST.L^I22 (expired),AVST.L^I22,GB00BDD85M81,Information Technology,12.09.2022,-
Homeserve,HSV.L^A23 (expired),HSV.L^A23,GB00BYYTFB60,NULL,12.09.2022,+
Harbour Energy,HBR.L,HBR.L,GB00BMBVGQ36,Energy,21.07.2022,-
Haleon,HLN.L,HLN.L,GB00BMX86B70,Health Care,18.07.2022,+
Centrica,CNA.L,CNA.L,GB00B033F229,Utilities,20.06.2022,+
Intl Distributio,IDSI.L,IDSI.L,GB00BDVZYZ77,Industrials,20.06.2022,-
ITV,ITV.L,ITV.L,GB0033986497,Communication Services,20.06.2022,-
Unite,UTG.L,UTG.L,GB0006928617,Real Estate,20.06.2022,+
Ferguson Entps,FERG.L,FERG.L,US31488V1070,Industrials,12.05.2022,-
Harbour Energy,HBR.L,HBR.L,GB00BMBVGQ36,Energy,12.05.2022,+
Endeavour Ming,EDV.L,EDV.L,GB00BL6K5J42,Materials,21.03.2022,+
EVRAZ,EVRE.L,EVRE.L,GB00B71N6K86,Materials,21.03.2022,-
Howden Joinery,HWDN.L,HWDN.L,GB0005576813,Industrials,21.03.2022,+
Solidcore Resour,POLYP.L^H23 (expired),POLYP.L^H23,JE00B6T5S470,Materials,21.03.2022,-
Airtel Africa,AAF.L,AAF.L,GB00BKDRYJ47,Communication Services,31.01.2022,+
BHP Group,BHPB.L^A22 (expired),BHPB.L^A22,GB00BH0P3Z91,Materials,31.01.2022,-
Shell,RDSb.L^A22 (expired),RDSb.L^A22,GB00B03MM408,Energy,31.01.2022,-
Darktrace,DARK.L^J24 (expired),DARK.L^J24,GB00BNYK8G86,Information Technology,20.12.2021,-
Dechra Pharms,DPH.L^A24 (expired),DPH.L^A24,GB0009633180,Health Care,20.12.2021,+
Johnson Matthey,JMAT.L,JMAT.L,GB00BZ4BQC70,Materials,20.12.2021,-
RS Group,RS1R.L,RS1R.L,GB0003096442,Industrials,20.12.2021,+
Darktrace,DARK.L^J24 (expired),DARK.L^J24,GB00BNYK8G86,Information Technology,27.10.2021,+
WM Morrison Supe,MRW.L^J21 (expired),MRW.L^J21,GB0006043169,NULL,27.10.2021,-
Just Eat Takeawa,JETJ.L^L24 (expired),JETJ.L^L24,NL0012015705,Consumer Discretionary,20.09.2021,-
Meggitt,MGGT.L^I22 (expired),MGGT.L^I22,GB0005758098,Industrials,20.09.2021,+
Weir Group,WEIR.L,WEIR.L,GB0009465807,Industrials,20.09.2021,-
WM Morrison Supe,MRW.L^J21 (expired),MRW.L^J21,GB0006043169,NULL,20.09.2021,+
ITV,ITV.L,ITV.L,GB0033986497,Communication Services,21.06.2021,+
Renishaw,RSW.L,RSW.L,GB0007323586,Information Technology,21.06.2021,-
Thungela Rsrcs,TGAT.L,TGAT.L,ZAE000296554,Energy,11.06.2021,-
Thungela Rsrcs,TGAT.L,TGAT.L,ZAE000296554,Energy,07.06.2021,+
Intl Distributio,IDSI.L,IDSI.L,GB00BDVZYZ77,Industrials,28.05.2021,+
