COMPANY,RIC,RIC CLEAN,ISIN,GICS SECTOR,DATE,LEAVER_JOINER
Kuaishou Tech,1024.HK,1024.HK,KYG532631028,Communication Services,09.12.2024,+
New Oriental,9901.HK,9901.HK,KYG6470A1168,Consumer Discretionary,09.12.2024,+
New World Dev,0017.HK,0017.HK,HK0000608585,Real Estate,09.12.2024,-
BYD Electronic,0285.HK,0285.HK,HK0285041858,Information Technology,11.06.2024,+
Country Garde,6098.HK,6098.HK,KYG2453A1085,Real Estate,11.06.2024,-
Li Auto,2015.HK,2015.HK,KYG5479M1050,Consumer Discretionary,04.12.2023,+
Wuxi AppTec,2359.HK,2359.HK,CNE100003F19,Health Care,04.12.2023,+
CountryGarden,2007.HK,2007.HK,KYG245241032,Real Estate,05.09.2023,-
Sinopharm,1099.HK,1099.HK,CNE100000FN7,Health Care,05.09.2023,+
CN Res Power,0836.HK,0836.HK,HK0836012952,Utilities,05.06.2023,+
JD Health Intl,6618.HK,6618.HK,KYG5074A1004,Consumer Staples,05.06.2023,+
Trip.com Group,9961.HK,9961.HK,KYG9066F1019,Consumer Discretionary,05.06.2023,+
Zijin Mining,2899.HK,2899.HK,CNE100000502,Materials,05.06.2023,+
Super Hi Intl,9658.HK,9658.HK,KYG8588S1049,Consumer Discretionary,03.01.2023,-
Super Hi Intl,9658.HK,9658.HK,KYG8588S1049,Consumer Discretionary,30.12.2022,+
CR Mixc,1209.HK,1209.HK,KYG2122G1064,Real Estate,05.12.2022,+
Haier Smart Home,6690.HK,6690.HK,CNE1000048K8,Consumer Discretionary,05.12.2022,+
Tingyi,0322.HK,0322.HK,KYG8878S1030,Consumer Staples,05.12.2022,+
Baidu,9888.HK,9888.HK,KYG070341048,Communication Services,05.09.2022,+
China Shenhua,1088.HK,1088.HK,CNE1000002R0,Energy,05.09.2022,+
CTF Group,1929.HK,1929.HK,KYG211461085,Consumer Discretionary,05.09.2022,+
Hansoh Pharm Grp,3692.HK,3692.HK,KYG549581067,Health Care,05.09.2022,+
AAC Tech Hldg,2018.HK,2018.HK,KYG2953R1149,Information Technology,13.06.2022,-
China Hongqiao,1378.HK,1378.HK,KYG211501005,Materials,13.06.2022,+
OOIL,0316.HK,0316.HK,BMG677491539,Industrials,13.06.2022,+
SMIC,0981.HK,0981.HK,KYG8020E1199,Information Technology,13.06.2022,+
Zhongsheng Group,0881.HK,0881.HK,KYG9894K1085,Consumer Discretionary,13.06.2022,+
Lenovo Group,0992.HK,0992.HK,HK0992009065,Information Technology,07.03.2022,+
Nongfu Spring,9633.HK,9633.HK,CNE100004272,Consumer Staples,07.03.2022,+
China Res Beer,0291.HK,0291.HK,HK0291001490,Consumer Staples,06.12.2021,+
ENN Energy,2688.HK,2688.HK,KYG3066L1014,Utilities,06.12.2021,+
JD.com,9618.HK,9618.HK,KYG8208B1014,Consumer Discretionary,06.12.2021,+
NetEase,9999.HK,9999.HK,KYG6427A1022,Communication Services,06.12.2021,+
BOCOM,3328.HK,3328.HK,CNE100000205,Financials,06.09.2021,-
