COMPANY,RIC,RIC CLEAN,ISIN,GICS SECTOR,DATE,LEAVER_JOINER
Flutter,FLTRF.I^A24 (expired),FLTRF.I^A24,IE00BWT6H894,Consumer Discretionary,18.12.2023,-
Wolters Kluwer,WLSNc.AS,WLSNc.AS,NL0000395903,Industrials,18.12.2023,+
Cie Saint Gobain,SGOB.PA,SGOB.PA,FR0000125007,Industrials,18.09.2023,+
CRH,CRH.I^I23 (expired),CRH.I^I23,IE0001827041,Materials,18.09.2023,-
Ferrari,RACE.MI,RACE.MI,NL0011585146,Consumer Discretionary,18.09.2023,+
Vonovia,VNAn.DE,VNAn.DE,DE000A1ML7J1,Real Estate,18.09.2023,-
Linde,LIN.DE,LIN.DE,IE000S9YS762,Materials,27.02.2023,-
Uni Credit,CRDI.MI,CRDI.MI,IT0005239360,Financials,27.02.2023,+
Nordea Bnk,NDAFI.HE,NDAFI.HE,FI4000297767,Financials,19.12.2022,+
Kone,KNEBV.HE,KNEBV.HE,FI0009013403,Industrials,19.09.2022,-
Nokia,NOKIA.HE,NOKIA.HE,FI0009000681,Information Technology,19.09.2022,+
Philips,PHG.AS,PHG.AS,NL0000009538,Health Care,19.09.2022,-
Euroapi,EAPI.PA,EAPI.PA,FR0014008VX5,Health Care,09.05.2022,-
Euroapi,EAPI.PA,EAPI.PA,FR0014008VX5,Health Care,06.05.2022,+
Daimler Trk Hldg,DTGGe.DE,DTGGe.DE,DE000DTR0CK8,Industrials,20.12.2021,-
Hermes Intl,HRMS.PA,HRMS.PA,FR0000052292,Consumer Discretionary,20.12.2021,+
Mercedes Benz Gr,MBGn.DE,MBGn.DE,DE0007100000,Consumer Discretionary,20.12.2021,+
Unvrsl Music Grp,UMG.AS,UMG.AS,NL0015000IY2,Communication Services,20.12.2021,-
Mercedes Benz Gr,MBGn.DE,MBGn.DE,DE0007100000,Consumer Discretionary,13.12.2021,-
Daimler Trk Hldg,DTGGe.DE,DTGGe.DE,DE000DTR0CK8,Industrials,10.12.2021,+
Vivendi,VIV.PA,VIV.PA,FR0000127771,Communication Services,22.09.2021,-
Unvrsl Music Grp,UMG.AS,UMG.AS,NL0015000IY2,Communication Services,21.09.2021,+
Amadeus IT Group,AMA.MC,AMA.MC,ES0109067019,Consumer Discretionary,20.09.2021,-
BBVA,BBVA.MC,BBVA.MC,ES0113211835,Financials,20.09.2021,+
Engie,ENGIE.PA,ENGIE.PA,FR0010208488,Utilities,20.09.2021,-
Stellantis,STLAM.MI,STLAM.MI,NL00150001Q9,Consumer Discretionary,20.09.2021,+
Infineon Technol,IFXGn.DE,IFXGn.DE,DE0006231004,Information Technology,22.03.2021,+
Nokia,NOKIA.HE,NOKIA.HE,FI0009000681,Information Technology,22.03.2021,-
Flutter,FLTRF.I^A24 (expired),FLTRF.I^A24,IE00BWT6H894,Consumer Discretionary,30.11.2020,+
Unilever,UNA.AS^K20 (expired),UNA.AS^K20,NL0000388619,NULL,30.11.2020,-
Siemens Energ,ENR1n.DE,ENR1n.DE,DE000ENER6Y0,Industrials,29.09.2020,-
Siemens Energ,ENR1n.DE,ENR1n.DE,DE000ENER6Y0,Industrials,28.09.2020,+
Adyen,ADYEN.AS,ADYEN.AS,NL0012969182,Financials,21.09.2020,+
BBVA,BBVA.MC,BBVA.MC,ES0113211835,Financials,21.09.2020,-
Fresenius,FREG.DE,FREG.DE,DE0005785604,Health Care,21.09.2020,-
Kone,KNEBV.HE,KNEBV.HE,FI0009013403,Industrials,21.09.2020,+
Orange,ORAN.PA,ORAN.PA,FR0000133308,Communication Services,21.09.2020,-
Pernod Ricard,PERP.PA,PERP.PA,FR0000120693,Consumer Staples,21.09.2020,+
Prosus,PRX.AS,PRX.AS,NL0013654783,Consumer Discretionary,21.09.2020,+
Societe Generale,SOGN.PA,SOGN.PA,FR0000130809,Financials,21.09.2020,-
Telefonica,TEF.MC,TEF.MC,ES0178430E18,Communication Services,21.09.2020,-
Vonovia,VNAn.DE,VNAn.DE,DE000A1ML7J1,Real Estate,21.09.2020,+
Deutsche Boerse,DB1Gn.DE,DB1Gn.DE,DE0005810055,Financials,23.09.2019,+
Unibail Rod West,URW.PA,URW.PA,FR0013326246,Real Estate,23.09.2019,-
Unilever,UNA.AS^K20 (expired),UNA.AS^K20,NL0000388619,NULL,01.07.2019,+
Unilever,UNc.AS^G19 (expired),UNc.AS^G19,NL0000009355,NULL,01.07.2019,-
Linde,LIN.DE,LIN.DE,IE000S9YS762,Materials,29.10.2018,+
Linde DE,LIN1.DE^J18 (expired),LIN1.DE^J18,DE000A2E4L75,NULL,29.10.2018,-
Amadeus IT Group,AMA.MC,AMA.MC,ES0109067019,Consumer Discretionary,24.09.2018,+
Cie Saint Gobain,SGOB.PA,SGOB.PA,FR0000125007,Industrials,24.09.2018,-
Deutsche Bank,DBKGn.DE,DBKGn.DE,DE0005140008,Financials,24.09.2018,-
E.ON,EONGn.DE,EONGn.DE,DE000ENAG999,Utilities,24.09.2018,-
Kering,PRTP.PA,PRTP.PA,FR0000121485,Consumer Discretionary,24.09.2018,+
Linde DE,LIN1.DE^J18 (expired),LIN1.DE^J18,DE000A2E4L75,NULL,24.09.2018,+
Adidas,ADSGn.DE,ADSGn.DE,DE000A1EWWW0,Consumer Discretionary,19.09.2016,+
Ahold Delhaize,AD.AS,AD.AS,NL0011794037,Consumer Staples,19.09.2016,+
Carrefour,CARR.PA,CARR.PA,FR0000120172,Consumer Staples,19.09.2016,-
CRH,CRH.I^I23 (expired),CRH.I^I23,IE0001827041,Materials,19.09.2016,+
Generali,GASI.MI,GASI.MI,IT0000062072,Financials,19.09.2016,-
Uni Credit,CRDI.MI,CRDI.MI,IT0005239360,Financials,19.09.2016,-
Uniper,UN0k.DE,UN0k.DE,DE000UNSE026,Utilities,13.09.2016,-
Uniper,UN0k.DE,UN0k.DE,DE000UNSE026,Utilities,12.09.2016,+
Fresenius,FREG.DE,FREG.DE,DE0005785604,Health Care,21.09.2015,+
Repsol,REP.MC,REP.MC,ES0173516115,Energy,21.09.2015,-
RWE,RWEG.DE,RWEG.DE,DE0007037129,Utilities,21.09.2015,-
Safran,SAF.PA,SAF.PA,FR0000073272,Industrials,21.09.2015,+
CRH,CRH.I^I23 (expired),CRH.I^I23,IE0001827041,Materials,22.09.2014,-
Nokia,NOKIA.HE,NOKIA.HE,FI0009000681,Information Technology,22.09.2014,+
ArcelorMittal,MT.AS,MT.AS,LU1598757687,Materials,23.09.2013,-
Deutsche Post,DHLn.DE,DHLn.DE,DE0005552004,Industrials,23.09.2013,+
Osram Licht,OSRn.DE^G21 (expired),OSRn.DE^G21,DE000LED4000,Industrials,09.07.2013,-
Airbus NL,AIR.PA,AIR.PA,NL0000235190,Industrials,18.03.2013,+
Nokia,NOKIA.HE,NOKIA.HE,FI0009000681,Information Technology,18.03.2013,-
ASML Holding,ASML.AS,ASML.AS,NL0010273215,Information Technology,18.06.2012,+
Deutsche Boerse,DB1Gn.DE,DB1Gn.DE,DE0005810055,Financials,18.06.2012,-
EssilorLuxottica,ESLX.PA,ESLX.PA,FR0000121667,Health Care,18.06.2012,+
Telecom IT,TLIT.MI,TLIT.MI,IT0003497168,Communication Services,18.06.2012,-
Deutsche Boerse,DB1Gne.DE^B12 (expired),DB1Gne.DE^B12,DE000A1KRND6,Financials,08.02.2012,-
Deutsche Boerse,DB1Gn.DE,DB1Gn.DE,DE0005810055,Financials,08.02.2012,+
Alstom,ALSO.PA,ALSO.PA,FR0010220475,Industrials,19.09.2011,-
Credit Agricole,CAGR.PA,CAGR.PA,FR0000045072,Financials,19.09.2011,-
Inditex,ITX.MC,ITX.MC,ES0148396007,Consumer Discretionary,19.09.2011,+
Volkswagen,VOWG_p.DE,VOWG_p.DE,DE0007664039,Consumer Discretionary,19.09.2011,+
Deutsche Boerse,DB1Gn.DE,DB1Gn.DE,DE0005810055,Financials,20.07.2011,-
Deutsche Boerse,DB1Gne.DE^B12 (expired),DB1Gne.DE^B12,DE000A1KRND6,Financials,20.07.2011,+
DIA,DIDA.MC,DIDA.MC,ES0126775008,Consumer Staples,06.07.2011,-
DIA,DIDA.MC,DIDA.MC,ES0126775008,Consumer Staples,05.07.2011,+
Aperam,APAM.AS,APAM.AS,LU0569974404,Materials,01.02.2011,-
Aegon BM,AEGN.AS,AEGN.AS,BMG0112X1056,Financials,20.09.2010,-
BMW,BMWG.DE,BMWG.DE,DE0005190003,Consumer Discretionary,20.09.2010,+
Unibail Rod West,URW.PA,URW.PA,FR0013326246,Real Estate,08.02.2010,+
Volkswagen,VOWG.DE,VOWG.DE,DE0007664005,Consumer Discretionary,08.02.2010,-
A B I,ABI.BR,ABI.BR,BE0974293251,Consumer Staples,21.09.2009,+
Ageas,AGES.BR,AGES.BR,BE0974264930,Financials,21.09.2009,-
CRH,CRH.I^I23 (expired),CRH.I^I23,IE0001827041,Materials,21.09.2009,+
Renault,RENA.PA,RENA.PA,FR0000131906,Consumer Discretionary,21.09.2009,-
Alcatel Lucent,ALUA.PA^K16 (expired),ALUA.PA^K16,FR0000130007,NULL,22.09.2008,-
Alstom,ALSO.PA,ALSO.PA,FR0010220475,Industrials,22.09.2008,+
Engie,ENGIE.PA,ENGIE.PA,FR0010208488,Utilities,22.07.2008,+
Suez eniivi,LYOE.PA^F10 (expired),LYOE.PA^F10,FR0000120529,NULL,22.07.2008,-
Deutsche Boerse,DB1Gn.DE,DB1Gn.DE,DE0005810055,Financials,15.10.2007,+
