,DATE
0,2005-03-31
1,2005-04-30
2,2005-05-31
3,2005-06-30
4,2005-07-31
5,2005-08-31
6,2005-09-30
7,2005-10-31
8,2005-11-30
9,2005-12-31
10,2006-01-31
11,2006-02-28
12,2006-03-31
13,2006-04-30
14,2006-05-31
15,2006-06-30
16,2006-07-31
17,2006-08-31
18,2006-09-30
19,2006-10-31
20,2006-11-30
21,2006-12-31
22,2007-01-31
23,2007-02-28
24,2007-03-31
25,2007-04-30
26,2007-05-31
27,2007-06-30
28,2007-07-31
29,2007-08-31
30,2007-09-30
31,2007-10-31
32,2007-11-30
33,2007-12-31
34,2008-01-31
35,2008-02-29
36,2008-03-31
37,2008-04-30
38,2008-05-31
39,2008-06-30
40,2008-07-31
41,2008-08-31
42,2008-09-30
43,2008-10-31
44,2008-11-30
45,2008-12-31
46,2009-01-31
47,2009-02-28
48,2009-03-31
49,2009-04-30
50,2009-05-31
51,2009-06-30
52,2009-07-31
53,2009-08-31
54,2009-09-30
55,2009-10-31
56,2009-11-30
57,2009-12-31
58,2010-01-31
59,2010-02-28
60,2010-03-31
61,2010-04-30
62,2010-05-31
63,2010-06-30
64,2010-07-31
65,2010-08-31
66,2010-09-30
67,2010-10-31
68,2010-11-30
69,2010-12-31
70,2011-01-31
71,2011-02-28
72,2011-03-31
73,2011-04-30
74,2011-05-31
75,2011-06-30
76,2011-07-31
77,2011-08-31
78,2011-09-30
79,2011-10-31
80,2011-11-30
81,2011-12-31
82,2012-01-31
83,2012-02-29
84,2012-03-31
85,2012-04-30
86,2012-05-31
87,2012-06-30
88,2012-07-31
89,2012-08-31
90,2012-09-30
91,2012-10-31
92,2012-11-30
93,2012-12-31
94,2013-01-31
95,2013-02-28
96,2013-03-31
97,2013-04-30
98,2013-05-31
99,2013-06-30
100,2013-07-31
101,2013-08-31
102,2013-09-30
103,2013-10-31
104,2013-11-30
105,2013-12-31
106,2014-01-31
107,2014-02-28
108,2014-03-31
109,2014-04-30
110,2014-05-31
111,2014-06-30
112,2014-07-31
113,2014-08-31
114,2014-09-30
115,2014-10-31
116,2014-11-30
117,2014-12-31
118,2015-01-31
119,2015-02-28
120,2015-03-31
121,2015-04-30
122,2015-05-31
123,2015-06-30
124,2015-07-31
125,2015-08-31
126,2015-09-30
127,2015-10-31
128,2015-11-30
129,2015-12-31
130,2016-01-31
131,2016-02-29
132,2016-03-31
133,2016-04-30
134,2016-05-31
135,2016-06-30
136,2016-07-31
137,2016-08-31
138,2016-09-30
139,2016-10-31
140,2016-11-30
141,2016-12-31
142,2017-01-31
143,2017-02-28
144,2017-03-31
145,2017-04-30
146,2017-05-31
147,2017-06-30
148,2017-07-31
149,2017-08-31
150,2017-09-30
151,2017-10-31
152,2017-11-30
153,2017-12-31
154,2018-01-31
155,2018-02-28
156,2018-03-31
157,2018-04-30
158,2018-05-31
159,2018-06-30
160,2018-07-31
161,2018-08-31
162,2018-09-30
163,2018-10-31
164,2018-11-30
165,2018-12-31
166,2019-01-31
167,2019-02-28
168,2019-03-31
169,2019-04-30
170,2019-05-31
171,2019-06-30
172,2019-07-31
173,2019-08-31
174,2019-09-30
175,2019-10-31
176,2019-11-30
177,2019-12-31
178,2020-01-31
179,2020-02-29
180,2020-03-31
181,2020-04-30
182,2020-05-31
183,2020-06-30
184,2020-07-31
185,2020-08-31
186,2020-09-30
187,2020-10-31
188,2020-11-30
189,2020-12-31
190,2021-01-31
191,2021-02-28
192,2021-03-31
193,2021-04-30
194,2021-05-31
195,2021-06-30
196,2021-07-31
197,2021-08-31
198,2021-09-30
199,2021-10-31
200,2021-11-30
201,2021-12-31
202,2022-01-31
203,2022-02-28
204,2022-03-31
205,2022-04-30
206,2022-05-31
207,2022-06-30
208,2022-07-31
209,2022-08-31
210,2022-09-30
211,2022-10-31
212,2022-11-30
213,2022-12-31
214,2023-01-31
215,2023-02-28
216,2023-03-31
217,2023-04-30
218,2023-05-31
219,2023-06-30
220,2023-07-31
221,2023-08-31
222,2023-09-30
223,2023-10-31
224,2023-11-30
225,2023-12-31
226,2024-01-31
227,2024-02-29
228,2024-03-31
229,2024-04-30
230,2024-05-31
231,2024-06-30
232,2024-07-31
233,2024-08-31
234,2024-09-30
235,2024-10-31
236,2024-11-30
237,2024-12-31
238,2025-01-31
239,2025-02-28
240,2025-03-31
