DATE,equal,min_var,max_sharpe,kde,gmm,kde_max_sharpe,gmm_max_sharpe,value,markowitz
2005-03-20,,,,,,,,,
2005-03-27,,,,,,,,,
2005-04-03,,,,,,,,,
2005-04-10,,,,,,,,,
2005-04-17,,,,,,,,,
2005-04-24,,,,,,,,,
2005-05-01,,,,,,,,,
2005-05-08,,,,,,,,,
2005-05-15,,,,,,,,,
2005-05-22,,,,,,,,,
2005-05-29,,,,,,,,,
2005-06-05,,,,,,,,,
2005-06-12,,,,,,,,,
2005-06-19,,,,,,,,,
2005-06-26,,,,,,,,,
2005-07-03,,,,,,,,,
2005-07-10,,,,,,,,,
2005-07-17,,,,,,,,,
2005-07-24,,,,,,,,,
2005-07-31,,,,,,,,,
2005-08-07,,,,,,,,,
2005-08-14,,,,,,,,,
2005-08-21,,,,,,,,,
2005-08-28,,,,,,,,,
2005-09-04,,,,,,,,,
2005-09-11,,,,,,,,,
2005-09-18,,,,,,,,,
2005-09-25,,,,,,,,,
2005-10-02,,,,,,,,,
2005-10-09,,,,,,,,,
2005-10-16,,,,,,,,,
2005-10-23,,,,,,,,,
2005-10-30,,,,,,,,,
2005-11-06,,,,,,,,,
2005-11-13,,,,,,,,,
2005-11-20,,,,,,,,,
2005-11-27,,,,,,,,,
2005-12-04,,,,,,,,,
2005-12-11,,,,,,,,,
2005-12-18,,,,,,,,,
2005-12-25,,,,,,,,,
2006-01-01,-0.024261860003028417,-0.00036993038571907726,-0.027625744735940535,-0.008837627585249653,-0.020566330408058775,-0.026712400793298233,-0.021189985519201093,-0.025627707450436358,-0.043368142248835215
2006-01-08,0.03538178807567414,0.004466001206025204,0.05540030297576964,0.01341661364459156,0.03819993795910379,0.03733772113552766,0.05068956585334421,0.032595129871154524,0.05866764532196299
2006-01-15,0.02517949261458802,0.008574698451143722,0.01569876100899364,0.007804927788991359,0.0001894317577751579,0.014714124585760737,-0.0018892312513411878,0.02997304631227962,0.026337809632428797
2006-01-22,-0.0018926272543761252,0.002135809392773553,-0.0192106142522371,-0.005945870415520308,-0.023796143104977158,-0.006971261876441203,-0.028792318442161326,-0.007595321415521704,-0.0017252438926089414
2006-01-29,0.015696177108213104,0.005063700428637092,0.023111431546750553,0.006395633847568897,0.0035219095912001875,0.021154503803377942,0.009273249005877197,0.008309213417480152,0.032989981882706826
2006-02-05,-0.020565821998373764,-0.013974365736207238,-0.011272788879484796,-0.013320332106161023,-0.013787717320591333,-0.012264434312659394,-0.014108098327005702,-0.022650788040877883,-0.007343568722851913
2006-02-12,0.008729644104140788,0.029145164802498888,0.026419297066385024,0.02743664147153026,0.039495233462552216,0.028758997532203838,0.046020574336065115,-0.0010165940527327765,0.022669062445440376
2006-02-19,0.005937922034397871,0.039532105831910816,0.020711923787493675,0.030651662738858103,0.02826760233771134,0.01590475522481134,0.03407699153948337,0.0023180810431382617,0.0002476811625604154
2006-02-26,0.02611325795169324,0.018075164421267893,0.03958228544789379,0.027916103538940043,0.051036283102659376,0.03653150352282819,0.055689663211298826,0.026141010837754542,0.03978246685589705
2006-03-05,-0.003249076968466328,0.0034077637154557422,-0.01083010535415943,-0.00394727138722665,-0.02187822932830883,-0.0022624994864280288,-0.02357954783666968,-0.004879056116216102,0.003619235712747588
2006-03-12,-0.025099760775508937,-0.016638454921427775,-0.03920705725974827,-0.021949870411207245,-0.03539022231909686,-0.03366951891525773,-0.039613746386435375,-0.029896269048172996,-0.04427476364468611
2006-03-19,0.026614749894150438,0.07320862052515092,0.044048473519589126,0.056350381280598986,0.03824747161962978,0.047430672306702566,0.04334932589849592,0.032052144673622655,0.039394817152442835
2006-03-26,-0.0006615630126585432,0.03108734669351936,-0.023389198764851443,0.01197247964843034,-0.023786413012414284,-0.004226895889981764,-0.0287974202879735,0.00218386985890888,-0.01622295491194062
2006-04-02,-0.0005433360565351178,-0.005115216718386681,0.01593545318383191,0.0048354120069359794,0.02701517598943661,-0.00029628500877858455,0.032737232592202764,0.008514037919325158,-0.0108564183485613
