DATE,equal,min_var,max_sharpe,kde,gmm,kde_max_sharpe,gmm_max_sharpe,value,markowitz
2005-03-20,,,,,,,,,
2005-03-27,,,,,,,,,
2005-04-03,,,,,,,,,
2005-04-10,,,,,,,,,
2005-04-17,,,,,,,,,
2005-04-24,,,,,,,,,
2005-05-01,,,,,,,,,
2005-05-08,,,,,,,,,
2005-05-15,,,,,,,,,
2005-05-22,,,,,,,,,
2005-05-29,,,,,,,,,
2005-06-05,,,,,,,,,
2005-06-12,,,,,,,,,
2005-06-19,,,,,,,,,
2005-06-26,,,,,,,,,
2005-07-03,,,,,,,,,
2005-07-10,,,,,,,,,
2005-07-17,,,,,,,,,
2005-07-24,,,,,,,,,
2005-07-31,,,,,,,,,
2005-08-07,,,,,,,,,
2005-08-14,,,,,,,,,
2005-08-21,,,,,,,,,
2005-08-28,,,,,,,,,
2005-09-04,,,,,,,,,
2005-09-11,,,,,,,,,
2005-09-18,,,,,,,,,
2005-09-25,,,,,,,,,
2005-10-02,,,,,,,,,
2005-10-09,,,,,,,,,
2005-10-16,,,,,,,,,
2005-10-23,,,,,,,,,
2005-10-30,,,,,,,,,
2005-11-06,,,,,,,,,
2005-11-13,,,,,,,,,
2005-11-20,,,,,,,,,
2005-11-27,,,,,,,,,
2005-12-04,,,,,,,,,
2005-12-11,,,,,,,,,
2005-12-18,,,,,,,,,
2005-12-25,,,,,,,,,
2006-01-01,-0.024261860003028417,-0.00036993038571907726,-0.027625744735940535,-0.008837627585249653,-0.020566330408058775,-0.026712400793298233,-0.021189985519201093,-0.025627707450436358,-0.043368142248835215
2006-01-08,0.03538178807567414,0.004466001206025204,0.05540030297576964,0.01341661364459156,0.03819993795910379,0.03733772113552766,0.05068956585334421,0.032595129871154524,0.05866764532196299
2006-01-15,0.02517949261458802,0.008574698451143722,0.01569876100899364,0.007804927788991359,0.0001894317577751579,0.014714124585760737,-0.0018892312513411878,0.02997304631227962,0.026337809632428797
2006-01-22,-0.0018926272543761252,0.002135809392773553,-0.0192106142522371,-0.005945870415520308,-0.023796143104977158,-0.006971261876441203,-0.028792318442161326,-0.007595321415521704,-0.0017252438926089414
2006-01-29,0.015696177108213104,0.005063700428637092,0.023111431546750553,0.006395633847568897,0.0035219095912001875,0.021154503803377942,0.009273249005877197,0.008309213417480152,0.032989981882706826
2006-02-05,-0.01969825409464098,-0.015448430317385298,-0.017757552485863665,-0.024999888098797034,-0.02420057078157437,-0.02123214640883628,-0.015523601171367031,-0.02242936913780599,-0.007089978589624288
2006-02-12,0.008565080726483253,0.0251844132340674,0.020284460565218418,0.01704500528625328,0.021413109730823165,0.010584855449229031,0.03035473132798989,-0.0012516916953309893,-0.010925464849485044
2006-02-19,0.006041098483255949,0.035838791877861154,0.027810991450848293,0.021811230986644642,0.01957173324341765,0.019424588157002053,0.042277942009867724,0.0024764874305628778,0.005120035428891962
2006-02-26,0.02632867039199324,0.024082197636896313,0.029008413195946884,0.02972331955471207,0.030403227039460638,0.027682248521527137,0.03018872821008255,0.026267854682248796,0.01121411227020751
2006-03-05,-0.0027516280256442366,0.004023175368423047,0.013980363027097212,0.011561099294058338,0.0050337183633452215,0.012024044186333516,0.019936424208359563,-0.004848147008916684,-0.007336908393841967
2006-03-12,-0.02421062375388588,-0.006842185300341412,-0.04135135476090781,-0.03141766700505906,-0.020453929012339167,-0.043212335719776514,-0.04632866386521065,-0.029728996496043734,-0.04806218666020559
2006-03-19,0.025805784899352566,0.0015342219374727163,0.06363161365424762,0.038154949736429564,0.07213758205484876,0.048386018989393646,0.05880848461663025,0.03189131348829284,-0.0010633233751177233
2006-03-26,-4.581435531282346e-05,0.00939582650601268,0.014759322396464918,0.010732108966452675,0.03958968730371705,0.007796194005391618,-0.0044937055050803965,0.002148204712104144,0.010498509011316735
2006-04-02,-0.0010081019608238469,0.001195152492654168,-0.006113646267428137,7.014752805342242e-05,0.012871744832468593,-0.004243983207593648,0.014468280040085577,0.00862364859490215,-0.009059862328150111
