DATE,equal,min_var,max_sharpe,kde,gmm,kde_max_sharpe,gmm_max_sharpe,value,markowitz
2005-03-20,,,,,,,,,
2005-03-27,,,,,,,,,
2005-04-03,,,,,,,,,
2005-04-10,,,,,,,,,
2005-04-17,,,,,,,,,
2005-04-24,,,,,,,,,
2005-05-01,,,,,,,,,
2005-05-08,,,,,,,,,
2005-05-15,,,,,,,,,
2005-05-22,,,,,,,,,
2005-05-29,,,,,,,,,
2005-06-05,,,,,,,,,
2005-06-12,,,,,,,,,
2005-06-19,,,,,,,,,
2005-06-26,,,,,,,,,
2005-07-03,,,,,,,,,
2005-07-10,,,,,,,,,
2005-07-17,,,,,,,,,
2005-07-24,,,,,,,,,
2005-07-31,,,,,,,,,
2005-08-07,,,,,,,,,
2005-08-14,,,,,,,,,
2005-08-21,,,,,,,,,
2005-08-28,,,,,,,,,
2005-09-04,,,,,,,,,
2005-09-11,,,,,,,,,
2005-09-18,,,,,,,,,
2005-09-25,,,,,,,,,
2005-10-02,,,,,,,,,
2005-10-09,,,,,,,,,
2005-10-16,,,,,,,,,
2005-10-23,,,,,,,,,
2005-10-30,,,,,,,,,
2005-11-06,,,,,,,,,
2005-11-13,,,,,,,,,
2005-11-20,,,,,,,,,
2005-11-27,,,,,,,,,
2005-12-04,,,,,,,,,
2005-12-11,,,,,,,,,
2005-12-18,,,,,,,,,
2005-12-25,,,,,,,,,
2006-01-01,-0.014548323938833213,-0.013326923107977505,-0.013613480125795259,-0.01398224208642722,-0.016646574754766563,-0.013344579011681275,-0.013569476917585265,-0.015944096740200666,-0.021428503574895216
2006-01-08,0.03199291701681958,0.014667549086411156,0.013395022752561322,0.024068850225100382,0.04055965148564058,0.020430102767694323,0.013483129270200667,0.02982803506850138,0.06408031032958515
2006-01-15,0.0035435985271079413,0.0033673302011239235,0.002918164466422178,0.005182983045325968,-4.339332491991394e-06,0.0007572981765143962,0.0033676247918925845,0.0018370478961180835,0.035673591936577195
2006-01-22,-0.014093660056150165,-0.016336820172197637,-0.016243571122670684,-0.03190111718266845,-0.03142910638702728,-0.01435085179895377,-0.015388369833306735,-0.0202419274177367,-0.06993959863030247
2006-01-29,0.0218479109653202,0.007579566410494022,0.006878135688610147,0.04073499255630641,0.01213505683978562,0.020992550768969134,0.007734991073972439,0.017538047298591174,0.040910953916901804
2006-02-05,-0.016616588529484427,0.0012884301753896133,0.0014069572115349349,-0.01060825836475841,-0.0072676015648052905,-0.008902026931808927,0.00218904810388646,-0.014935957492995105,-0.008511343584869845
2006-02-12,0.00250753896310545,0.011239360947258978,0.011533620426830373,-0.011829294835954681,-0.0008481870916060202,0.0018917089044070746,0.010525088477423639,0.002895526179048989,-0.0429864975401963
2006-02-19,0.017569254477363426,0.017033600699615285,0.01905757625118148,0.016593363216799512,0.00831800115638929,0.014711218703627658,0.01891560761317501,0.016685332559104284,0.025753526333010764
2006-02-26,0.0030430481965014024,0.007334932490535601,0.007490931534044552,0.009028874769729784,0.011528972787913393,0.005397950536149913,0.006900533055110906,0.001947871871815625,-0.007212537928778603
2006-03-05,-0.001830091059830227,0.0024096846396608838,0.0020853637495243274,-0.0029333076295821056,0.0021621352009223676,-0.0014824538933154749,0.001774706389907046,-0.0011599589592460155,-0.032869319206230464
2006-03-12,-0.007002532976950351,0.002744347526838773,0.0021271422858079583,-0.013106751678680586,-0.005023617818616504,-0.007130614359212727,0.0022024080242835135,-0.003943475400471716,-0.0356844206445173
2006-03-19,0.025391336578179432,0.02801773751745715,0.026516845733445957,0.04872180396527965,0.03879204245561552,0.029752719856484196,0.027090888655261047,0.020693145156232686,0.047428861173503034
2006-03-26,-0.002784764757700339,-0.0014582333839272316,-0.0010342241015991267,-0.013097076414966689,-0.010422250487061293,-0.00563375766953994,-0.0014326207376170852,-0.003039927058790582,-0.04238680571294952
2006-04-02,-0.002658164652110105,-0.0009164095459845572,-0.0006729400862558501,0.00618033893545462,0.0003173024520130378,-0.001537640163322102,4.59875823852824e-05,-0.006267974014686914,0.0322535479874052
