data_freq,reb_freq,window,N,N_int,window_size,window_density,N_seeds,mu,std,SR,CR,VaR,ES,MDD,MDD_duration,min,max,equal_mu,min_var_mu,max_sharpe_mu,kde_mu,gmm_mu,kde_max_sharpe_mu,gmm_max_sharpe_mu,value_mu,markowitz_mu,equal_std,min_var_std,max_sharpe_std,kde_std,gmm_std,kde_max_sharpe_std,gmm_max_sharpe_std,value_std,markowitz_std,equal_SR,equal_SR_std,equal_SR_pen,min_var_SR,min_var_SR_std,min_var_SR_pen,max_sharpe_SR,max_sharpe_SR_std,max_sharpe_SR_pen,kde_SR,kde_SR_std,kde_SR_pen,gmm_SR,gmm_SR_std,gmm_SR_pen,kde_max_sharpe_SR,kde_max_sharpe_SR_std,kde_max_sharpe_SR_pen,gmm_max_sharpe_SR,gmm_max_sharpe_SR_std,gmm_max_sharpe_SR_pen,value_SR,value_SR_std,value_SR_pen,markowitz_SR,markowitz_SR_std,markowitz_SR_pen,equal_CR,min_var_CR,max_sharpe_CR,kde_CR,gmm_CR,kde_max_sharpe_CR,gmm_max_sharpe_CR,value_CR,markowitz_CR,equal_VaR,min_var_VaR,max_sharpe_VaR,kde_VaR,gmm_VaR,kde_max_sharpe_VaR,gmm_max_sharpe_VaR,value_VaR,markowitz_VaR,equal_ES,min_var_ES,max_sharpe_ES,kde_ES,gmm_ES,kde_max_sharpe_ES,gmm_max_sharpe_ES,value_ES,markowitz_ES,equal_MDD,min_var_MDD,max_sharpe_MDD,kde_MDD,gmm_MDD,kde_max_sharpe_MDD,gmm_max_sharpe_MDD,value_MDD,markowitz_MDD,equal_MDD_duration,min_var_MDD_duration,max_sharpe_MDD_duration,kde_MDD_duration,gmm_MDD_duration,kde_max_sharpe_MDD_duration,gmm_max_sharpe_MDD_duration,value_MDD_duration,markowitz_MDD_duration,equal_min,min_var_min,max_sharpe_min,kde_min,gmm_min,kde_max_sharpe_min,gmm_max_sharpe_min,value_min,markowitz_min,equal_max,min_var_max,max_sharpe_max,kde_max,gmm_max,kde_max_sharpe_max,gmm_max_sharpe_max,value_max,markowitz_max,SR*CR
monthly,monthly,1years,30,30,12,0.4,100,0.09499265969373488,0.19159512449343488,0.37364554393675015,1.1971755838660139,-0.2896701414596845,-0.3748720508389412,-0.3662726339667312,3.8859259259259264,-0.1425474123896021,0.20967248157711504,0.04991144141146196,0.11923521726934216,0.10359992095669293,0.11134483801701629,0.09170114101593034,0.1121518306390165,0.09660540891875614,0.05714852485351621,0.1132356141618814,0.19244376019062456,0.16457999592219433,0.19384850838420917,0.16906049786151509,0.19522772297769642,0.18902133406671934,0.19791884191708603,0.19296627320640553,0.22928918591446334,0.11628062704539455,0.040331218639278674,0.07594940840611587,0.5622531745420191,0.08384072750335463,0.4784124470386644,0.4192940951498015,0.1263261571382012,0.29296793801160026,0.5175895290565681,0.10175563354895256,0.4158338955076155,0.3573681377281336,0.13506073764679524,0.22230740008133834,0.4694925398273366,0.12397011241672695,0.3455224274106096,0.379710823030098,0.13005240617574426,0.24965841685435375,0.1396955596793087,0.13028829547985063,0.00940726419945806,0.4011254093720915,0.12372751422223328,0.27739789514985824,0.3731505146103394,1.792806704304259,1.3250689345785103,1.588432739486674,1.0835243943857171,1.5356047678808202,1.1682399341435963,0.5080971885773198,1.3996550768268896,-0.29457430707405974,-0.23040923320437798,-0.31108654814722864,-0.26206776156067185,-0.2886760601037043,-0.2866134761029711,-0.303374531028536,-0.2900859221748649,-0.3401434337407463,-0.3637175480280452,-0.32730841160970536,-0.3939209733519055,-0.3398619249941144,-0.39628186563057916,-0.3756582822286573,-0.40685300075743397,-0.3486382066770921,-0.4216082442729378,-0.3455253050572331,-0.3634382623144817,-0.37357766926847874,-0.30115170006852265,-0.3418135052848196,-0.35456045338675574,-0.3826529026081038,-0.45879301083990365,-0.374940896872282,5.871666666666666,3.0250000000000004,3.4466666666666663,2.919166666666667,3.4550000000000005,3.6108333333333342,3.5716666666666685,5.763333333333334,3.31,-0.1272672476119424,-0.1380839786539042,-0.14602125937115268,-0.12554040432311006,-0.1730512018179377,-0.13961511134950785,-0.15523036283549851,-0.12714425124528272,-0.1509728942980831,0.24618954494007406,0.22608057787301372,0.19398594245876083,0.1744798656663765,0.1844662593555729,0.16861818078180632,0.19413210964718103,0.2281048138846805,0.27099503958656934,0.4473193222214132
weekly,monthly,1years,30,30,52,1.7333333333333334,100,0.08498383848377306,0.17629391164696717,0.3671572419704046,1.035659303541651,-0.2671398577134345,-0.39583516247909084,-0.39265480961266047,4.695876068376069,-0.12381979565645748,0.10587077378925168,0.04419183233934424,0.07895447719204805,0.11796762673276723,0.06797234047938736,0.0750271539783677,0.11471636865721281,0.11120221830419688,0.050172023014769786,0.10465050565586342,0.18129955582869214,0.12819073312231863,0.18687021083652097,0.13563793363336177,0.16704256688486563,0.1836142291982171,0.20575355880261617,0.18995026245173466,0.20828615406437737,0.14099643417408425,0.04165156029095228,0.09934487388313197,0.44819598822408074,0.057791174767971305,0.39040481345610945,0.5197300835039868,0.12102016891363936,0.3987099145903474,0.3499806151888485,0.0749514066680792,0.2750292085207693,0.31900314761589627,0.11742062601551682,0.20158252160037943,0.5135891113060511,0.1293064469868509,0.3842826643192002,0.4365970669904541,0.13115338766266824,0.3054436793277858,0.16938747724417966,0.13167879942751454,0.03770867781666512,0.40693525348606024,0.12326232741618387,0.2836729260698764,0.31817450399585334,0.9991752055600212,1.6596716076274307,0.7873586030398556,0.8431015980040455,1.604297962449278,1.4295067509476658,0.4072310047613649,1.2724164954893447,-0.29417053348256905,-0.18766270521450112,-0.2755488959613868,-0.20940585525903088,-0.2533948077149596,-0.2686881398476341,-0.29255317592761687,-0.31068978246806966,-0.3121448235451434,-0.38811548686795566,-0.29329680800898933,-0.43364980351667604,-0.30562559696630415,-0.3708929228761034,-0.42432812742058734,-0.4662995236126622,-0.3992434261408153,-0.48106476690172445,-0.34488212193417317,-0.3545896724978593,-0.37976379067128213,-0.33278932739857514,-0.46396645575672013,-0.36589864840447667,-0.4231054320490595,-0.4666120345167897,-0.4022858032850081,5.64153846153846,5.365384615384617,3.1726923076923095,5.483269230769232,6.367115384615381,3.4173076923076944,3.4698076923076933,5.608461538461538,3.7373076923076916,-0.09002442770985661,-0.11167570769014923,-0.1483230651079376,-0.10071391222655335,-0.11799551811461165,-0.14527342467412643,-0.15480010574191383,-0.0972352299310565,-0.14833676971191226,0.1170550022155417,0.06486264259882574,0.11145354348880926,0.07181761555451051,0.12172701346408438,0.10682646070763793,0.12906370652959864,0.09147926495554516,0.13855171458871177,0.38024981350934267
weekly,monthly,6months,30,30,26,0.8666666666666667,100,0.0844868420900719,0.17946861449668525,0.3658019741542615,1.0021908867868392,-0.2693968825107992,-0.4072417029182766,-0.375726642376387,4.569059829059828,-0.11438235187592717,0.09646147504216868,0.04419183233934424,0.08816443552654103,0.10536159982158039,0.07679991798729958,0.07358747999170694,0.10093075890148145,0.10870539250761223,0.050172023014769786,0.11246813872031153,0.18129955582869214,0.13099624801722148,0.19196582617601088,0.1390342223114724,0.1670556476382597,0.18922112341213457,0.2039276632591183,0.18995026245173466,0.22176698137552317,0.14099643417408425,0.04165156029095228,0.09934487388313197,0.5137705979477872,0.06705097092346314,0.4467196270243241,0.44818858723227445,0.09576151255965927,0.3524270746726152,0.4068029130420501,0.07928299592337797,0.3275199171186721,0.321555005500223,0.13372122198167444,0.18783378351854854,0.43123051594585143,0.09408491227270928,0.33714560367314217,0.43607861940130765,0.12172656406833976,0.3143520553329679,0.16938747724417966,0.13167879942751454,0.03770867781666512,0.4242076169005966,0.14658784610829229,0.2776197707923043,0.31817450399585334,1.1738977439379026,1.3295966481409616,0.9359878569887712,0.8252902766348506,1.2469806128838112,1.3730206579927269,0.4072310047613649,1.4095386757453106,-0.29417053348256905,-0.19445235372837316,-0.268172073077874,-0.21640556166172226,-0.25962754524901077,-0.2727170841971978,-0.2865924732536177,-0.31068978246806966,-0.32174453547875825,-0.38811548686795566,-0.30337285029844163,-0.45622297060927686,-0.3207671554210922,-0.3830968054202208,-0.44522548571860476,-0.47863634476391215,-0.3992434261408153,-0.4904948010241699,-0.34488212193417317,-0.3343451211177583,-0.3482433062480152,-0.3274540993606719,-0.3952701617916648,-0.3443142883735548,-0.3682224783910777,-0.4666120345167897,-0.45219616965377724,5.64153846153846,5.135576923076923,2.9969230769230775,5.082500000000001,5.916538461538462,3.177499999999999,3.131538461538461,5.608461538461538,4.43096153846154,-0.09002442770985661,-0.12063579281027914,-0.11559605208074457,-0.10907271922437271,-0.13593443497687718,-0.10761085459716067,-0.1265335914085046,-0.0972352299310565,-0.1267980641444925,0.1170550022155417,0.07169729953340309,0.09921239969840713,0.07266759683972943,0.09230608915650264,0.09491248431584534,0.11008814013747045,0.09147926495554516,0.11873499852707298,0.36660340486603576
weekly,monthly,6months,20,20,26,1.3,100,0.0834097862591035,0.17983978665554157,0.35860155638572017,1.0013843879548034,-0.27183680966639606,-0.40426416181813885,-0.37513299710950937,4.7240811965811975,-0.11278215900666425,0.10485570121555243,0.04383996040599574,0.09152366637495918,0.10164745469376525,0.07898214593989167,0.07828904791725885,0.09482117617331078,0.10623859128034115,0.05425204709411316,0.10109398645229578,0.17765139533574306,0.13477837807071555,0.19837318608273272,0.14127330411269792,0.16773149893748637,0.19441476903311183,0.20813469558419181,0.18387899963651605,0.2123218531066788,0.14085695625065442,0.05822699258408776,0.08262996366656666,0.5251592611997485,0.10050246407831884,0.4246567971214297,0.4137333896733351,0.16482020580817375,0.24891318386516137,0.4170142852262246,0.11910555627298698,0.2979087289532376,0.3485285585337795,0.18650480051182983,0.16202375802194968,0.38618097254093514,0.15137395679395088,0.23480701574698426,0.4158873203548814,0.18155933021633308,0.23432799013854833,0.19341058906004352,0.11283119293851074,0.08057939612153278,0.38664267463187957,0.17101692880906638,0.2156257458228132,0.32474174605478945,1.2401127229500697,1.2871178459359636,0.9829561436531412,0.9491230130910415,1.1490721287537755,1.3682410851938196,0.47145966373376824,1.2396351422268628,-0.2902756016029717,-0.20062463830475089,-0.2841259642047678,-0.2173342078046225,-0.2590124063383979,-0.28566841596567466,-0.2986647535763866,-0.2962097658628737,-0.3146155333371189,-0.3832554650391089,-0.30851036432475615,-0.4563797712884234,-0.32455894541957014,-0.3823432722590909,-0.4470501039166415,-0.47632624238130616,-0.39092540230206396,-0.4690278894322884,-0.34473453574644475,-0.32021872816850633,-0.3719264371751517,-0.33514028949109,-0.3971089212903132,-0.36988578594178406,-0.3918761530274887,-0.40844637818804613,-0.43685974495675894,5.861730769230771,4.794615384615387,3.6946153846153837,4.760192307692308,5.604807692307691,3.905384615384616,3.6975000000000007,5.482500000000003,4.715384615384614,-0.08946284670790572,-0.11422482160199621,-0.12010820593957998,-0.10300013858635974,-0.12649850569500432,-0.1148931722138401,-0.12516346880580592,-0.09724024473821238,-0.12444802677127381,0.10762025372768638,0.07480429486671789,0.12492663213680867,0.07744834309844012,0.10106364662917512,0.11993558719023803,0.12972745288226792,0.08948987566502123,0.1186852247436165,0.3590980000609543
weekly,monthly,1years,max,50,52,1.04,1,0.09063057202418055,0.19163228070056124,0.3566685232817878,1.1438770261456022,-0.286783581857385,-0.4151694080855962,-0.4236799232624212,4.455128205128204,-0.13238983011333613,0.12329969347483363,0.040008425714628926,0.05949602427119105,0.12722193595371345,0.06321396581338146,0.043241192959555086,0.12102276009998136,0.16796919118882037,0.04580133105053852,0.14770032116581477,0.20627685507443078,0.13016029833839798,0.19705956307508252,0.13963897185040267,0.16975808401622852,0.19501728916952707,0.2292091675759105,0.21534964154304811,0.242220655662023,0.10543283197318995,0.0,0.10543283197318995,0.29050459939151496,0.0,0.29050459939151496,0.5438657477859526,0.0,0.5438657477859526,0.3020717870625868,0.0,0.3020717870625868,0.1379909247528111,0.0,0.1379909247528111,0.5198186032445281,0.0,0.5198186032445281,0.6478166586109082,0.0,0.6478166586109082,0.13130792522983262,0.0,0.13130792522983262,0.5312076314847657,0.0,0.5312076314847657,0.2024597942499642,0.6523741481590681,1.7789730773489763,0.6908107014086411,0.32962493412845095,1.6378475916691024,2.7340720780386536,0.24714926848416718,2.0215816418233956,-0.3254086281659626,-0.18150760429254706,-0.29700704548045953,-0.2191238360723897,-0.2645953452116024,-0.2727603685027171,-0.32055688049374104,-0.34277712170665825,-0.35731540679038754,-0.4357890291941623,-0.299715445025528,-0.4398458733434161,-0.3115020437733723,-0.3659565815359043,-0.4328721751761979,-0.4768183838902722,-0.456183306515455,-0.5178418343160578,-0.41940217469775,-0.3868819013056791,-0.39244744563329936,-0.35884881518746536,-0.4636466853868766,-0.40226132823066885,-0.3967754900220549,-0.5472212678223023,-0.44563420107569385,3.75,5.615384615384615,3.3461538461538463,6.288461538461538,6.961538461538462,3.8653846153846154,2.3076923076923075,4.096153846153846,3.8653846153846154,-0.0896709224643284,-0.1132446249342599,-0.1716095046827929,-0.1011329231934862,-0.1294357382570314,-0.1666099177350808,-0.1539745059225465,-0.0990641737071761,-0.1667661601233231,0.1621071429788648,0.0618300722626407,0.1291733912677144,0.0798007687015465,0.1305985303495546,0.1212637797753989,0.1411832206657682,0.1292695875039369,0.1544707477680778,0.4079849297313149
daily,monthly,3months,30,30,65,2.1666666666666665,100,0.08388459676679588,0.18927116501115415,0.35625954100824603,0.9360699636317844,-0.2934772389393976,-0.43399422672093735,-0.3860458171666824,4.659521367521368,-0.08287928766128473,0.07306314682447933,0.04508501986211581,0.10238272258234589,0.10453674268414546,0.0934374433211258,0.08162658538506871,0.09661657723356282,0.1162250311359359,0.05425021994721813,0.0608010287496443,0.18520729137317157,0.1334380243119969,0.20517385110207872,0.13901596251988724,0.17047876680953056,0.2025441928110742,0.22233869625817107,0.2015792000419249,0.24366449987255237,0.14068241591872005,0.04241539168563721,0.09826702423308284,0.6161476409616387,0.05900024936087795,0.5571473916007607,0.4102902167564496,0.10299872265275159,0.30729149410369805,0.528068626903538,0.061512006892482485,0.46655662001105547,0.36313269822256605,0.16022228284881376,0.2029104153737523,0.3772409696404712,0.10263017827186477,0.27461079136860644,0.4309274873172903,0.12827185727995125,0.3026556300373391,0.17270851666787085,0.12776371758473878,0.044944799083132064,0.16713729668566948,0.13357283338160836,0.033564463304061126,0.31159166135325805,1.4233800691640734,1.2217944567715109,1.2187008960854968,0.9485563290062483,1.078441985737514,1.4081002623727061,0.41989399518534226,0.3941700170099089,-0.2918421999058796,-0.1990372476837184,-0.3148271678654443,-0.2166096217593568,-0.26048690357525484,-0.31473631607278213,-0.348368301792905,-0.3076220836584696,-0.3877653081407671,-0.4132426682777604,-0.3059215740377685,-0.47376164245157654,-0.3204482364360932,-0.40173916521439046,-0.46891343099647953,-0.5152800893548007,-0.4450603165223901,-0.5615809171971771,-0.35920296246579875,-0.2820578336069152,-0.3979834187462166,-0.30427424794731156,-0.38198348141941674,-0.39678139131811085,-0.4349855268633045,-0.47823763939347913,-0.43890585273958826,5.562538461538457,3.9929999999999994,4.2115,4.140384615384615,4.434076923076926,4.222653846153844,4.177692307692306,5.451500000000001,5.742346153846156,-0.08342785552672204,-0.07887046055728587,-0.07638608688009237,-0.07194673158211266,-0.08303923924903416,-0.07717484306990378,-0.0799258642999399,-0.07704976087011431,-0.1180927469163575,0.06436950339179745,0.04830992175101506,0.08203085586671342,0.04719068434422522,0.06367399356891429,0.07791508331946684,0.09589027961083021,0.08132200678953712,0.09686599277781427,0.33348385559506505
monthly,monthly,1years,max,50,12,0.24,1,0.09893170375801616,0.2094225519490528,0.3539525759829088,1.2115044737979408,-0.2960053273514658,-0.3937572792310146,-0.3773463757448312,4.148148148148149,-0.15247823962008997,0.23483610570304458,0.04598110951577361,0.07457235218704716,0.12738521152614868,0.09471758628784133,0.08873972565770405,0.12505361975521212,0.10566179452778046,0.05287435110967609,0.17539958325496197,0.22105257429695682,0.1673154774489326,0.20297140110960785,0.18140575049396196,0.22165785760214476,0.19963435694284168,0.20014921607429506,0.2178484647178918,0.2727678688548428,0.08000263676114479,0.0,0.08000263676114479,0.32886836921024365,0.0,0.32886836921024365,0.5186566012412025,0.0,0.5186566012412025,0.40862392178322066,0.0,0.40862392178322066,0.28606034329861024,0.0,0.28606034329861024,0.5054311851703647,0.0,0.5054311851703647,0.4235837501200304,0.0,0.4235837501200304,0.10712385441685764,0.0,0.10712385441685764,0.5272225218445047,0.0,0.5272225218445047,0.24791309872963785,0.8105516074680552,1.7825939561930122,1.1403246536599565,0.8730174499598748,1.743355783931266,1.2915886193285182,0.33976028853084506,2.674434806380301,-0.3428805285686668,-0.21075907152308485,-0.31933997067155595,-0.27784140182467243,-0.2937649970075444,-0.27023396738652544,-0.2824446225502963,-0.3297072363959562,-0.33707615023488974,-0.4131679511346633,-0.3931324977457706,-0.3936407125388681,-0.37362592550128637,-0.39889496140459574,-0.37027926311986537,-0.3927478635731197,-0.40279853779943875,-0.40552780026152374,-0.4285707425769405,-0.40723997189888006,-0.2843255282756687,-0.32923543677376077,-0.422494101909733,-0.3181539608439826,-0.3073581827314882,-0.5421246441411507,-0.3566148125518762,3.8333333333333335,3.5833333333333335,2.5833333333333335,5.166666666666667,6.5,2.8333333333333335,2.6666666666666665,7.166666666666667,3.0,-0.1470166381357878,-0.158651007215971,-0.1557112476597185,-0.1489187695430104,-0.1537911163696827,-0.1393159174777929,-0.1562716736540048,-0.1620371395144656,-0.1505906470103759,0.3272560308308392,0.1623898167980712,0.2106508432629103,0.1646526005935342,0.2461888146855945,0.1862473429236357,0.2109158623103716,0.2841811339229966,0.3210425059994479,0.42881512931559956
monthly,monthly,1years,20,20,12,0.6,110,0.08973423884336096,0.18747492230454815,0.3480162199084787,1.1233235602824905,-0.28754375906839574,-0.3746877461517236,-0.3683151338019707,4.365151515151516,-0.14498461405165938,0.1968879400771938,0.050430610391272425,0.11253454060812786,0.09664753831324495,0.10318194669841306,0.09452769333937291,0.096352720982686,0.09509046462902188,0.061807889333636325,0.09703474529447322,0.18880331047109317,0.1633141602591562,0.19650196725113203,0.1656729906396543,0.18398236459998465,0.1924857524654324,0.19885763234232676,0.18568326620746012,0.21197285650469377,0.12084610242786276,0.055650942392153346,0.06519516003570941,0.5316175531685002,0.1376202295869564,0.3939973235815438,0.3679711804175123,0.1881841512487283,0.179787029168784,0.4749031940687041,0.12499963874238618,0.34990355532631795,0.388318959180501,0.15180850750287914,0.23651045167762189,0.37218238030892986,0.17798999062268647,0.1941923896862434,0.35886698605978357,0.18461098893698774,0.17425599712279582,0.16822973156725438,0.10674683083300376,0.06148290073425061,0.34920989197726,0.17574016800477305,0.17346972397248694,0.3911292906025304,1.6554576379375332,1.2407325828743512,1.4223948214469049,1.191908951611639,1.2342044747012213,1.1981324664039255,0.5851747103071073,1.1907771066572006,-0.29461632960599005,-0.22850960071054677,-0.3130192443733833,-0.2520770720045333,-0.2717684073660782,-0.3029469978768387,-0.31118089911032637,-0.2842110614616062,-0.3295642191062589,-0.3637855811758983,-0.31844991444565596,-0.40983172173379545,-0.33297932105517847,-0.3782282014536536,-0.396564847174613,-0.41694984238294563,-0.34128683312823893,-0.41411345281553336,-0.34124794131634134,-0.3290093025101832,-0.4143627023388037,-0.3049906713071735,-0.3453556646740448,-0.3945768433583599,-0.41855866587532525,-0.3946438442909046,-0.37209056854659966,5.9651515151515175,3.038636363636364,4.282575757575757,3.4219696969696987,3.90909090909091,4.630303030303032,4.268181818181818,5.5613636363636365,4.20909090909091,-0.1312482694126902,-0.1329855950514611,-0.15782799765815148,-0.13063855814267566,-0.15858536222678138,-0.15602248709113162,-0.16173879079237327,-0.12368958031622258,-0.1521248857734469,0.22725849059217976,0.21694236979701223,0.19300990928643558,0.17324669837757528,0.17322019693026353,0.18239084430769578,0.19545034909489606,0.2082692304423101,0.20220337186637571,0.3909348191836464
weekly,monthly,1years,20,20,52,2.6,100,0.08104941168788506,0.1761551170973094,0.3472775153279315,0.9851865332212404,-0.2669755124076488,-0.39574573179967715,-0.3936074031929716,5.038995726495726,-0.12031904265247946,0.10728795050716884,0.04383996040599574,0.08240033906080964,0.10203039816285205,0.0738459588626817,0.07845492668366685,0.0976757578282184,0.1051424976477589,0.05425204709411316,0.09180281944486916,0.17765139533574306,0.13130793971790564,0.19180008560405784,0.1388670802062755,0.16812159264749366,0.18869918236952593,0.2080945626053273,0.18387899963651605,0.19697521575293983,0.14085695625065442,0.05822699258408776,0.08262996366656666,0.4663107201879887,0.08452122603375835,0.38178949415423036,0.42662488144378025,0.20144777207452658,0.22517710936925367,0.3852617467662188,0.1195175945199106,0.2657441522463082,0.3378297236814326,0.17120566882059368,0.16662405486083892,0.41267539074872217,0.20184901166471983,0.21082637908400234,0.4028176237309405,0.21629758326155618,0.1865200404693843,0.19341058906004352,0.11283119293851074,0.08057939612153278,0.35971000608160253,0.19621749206971514,0.16349251401188739,0.32474174605478945,1.0622706878792707,1.3589627896478758,0.8952733242062483,0.936783526125481,1.2776122565952752,1.4029741640060491,0.47145966373376824,1.1366006407424059,-0.2902756016029717,-0.19310092076228502,-0.284087931919553,-0.21453524519124895,-0.2526360360877936,-0.27889935277925926,-0.300490664803482,-0.2962097658628737,-0.29254409265937176,-0.3832554650391089,-0.29933801432628376,-0.44396472540310405,-0.3119268425068751,-0.3746381855713018,-0.43489492863154483,-0.47374686912504677,-0.39092540230206396,-0.44902115329176495,-0.34473453574644475,-0.33970147298488107,-0.41343158174304795,-0.33000431557347976,-0.4354813520920071,-0.40321798669162134,-0.4506510474831184,-0.40844637818804613,-0.4167979582340982,5.861730769230771,4.997115384615385,4.312499999999999,5.0223076923076935,6.174615384615384,4.348846153846153,4.463269230769231,5.482500000000003,4.688076923076923,-0.08946284670790572,-0.10580631336424542,-0.1456095444795958,-0.09489695252444434,-0.1138596431917428,-0.14254819450243664,-0.15060681289056155,-0.09724024473821238,-0.14284083147317053,0.10762025372768638,0.0686761228573892,0.12353298414082968,0.07670117217885317,0.12327726206995598,0.1186140507299089,0.14285779117346772,0.08948987566502123,0.1148220420214073,0.342133131391611
daily,monthly,1years,30,30,260,8.666666666666666,100,0.08542222311954237,0.18922269852997536,0.34492664955039837,0.9745833090121427,-0.2886223558175191,-0.43737281433547537,-0.410742468675323,4.531423076923077,-0.07853249828648144,0.09454699480619043,0.04508501986211581,0.07100872971524068,0.13485751954139402,0.07164318550899373,0.06391109633735365,0.13308451773683289,0.09928396283406693,0.05425021994721813,0.0956757565926655,0.18520729137317157,0.12936722035966644,0.21090659742876422,0.13463560068742508,0.1782486175415488,0.20835641100126362,0.23984286770932864,0.2015792000419249,0.21486048062668509,0.14068241591872005,0.04241539168563721,0.09826702423308284,0.39744296563024684,0.05691288634614216,0.34053007928410467,0.5400153767426766,0.12102142907215657,0.41899394767052006,0.38622089321540526,0.056809414459730895,0.32941147875567434,0.24979688625933297,0.11772834230833087,0.1320685439510021,0.5381494590497248,0.12454335740318949,0.4136061016465353,0.3300383522408437,0.12377287980027092,0.2062654724405728,0.17270851666787085,0.12776371758473878,0.044944799083132064,0.3492849802287643,0.10854797074518328,0.240737009483581,0.31159166135325805,0.8267580621806602,1.8965946293537854,0.8254058212142027,0.6093994653847516,1.8709628967453966,0.9956510826022005,0.41989399518534226,1.014992167089688,-0.2918421999058796,-0.20266644061839012,-0.3150334917504124,-0.21591670616263733,-0.26923094601691017,-0.31291830785974306,-0.3493580308750751,-0.3076220836584696,-0.33301299551015445,-0.4132426682777604,-0.2981256155648763,-0.48706772460577435,-0.3119697583276483,-0.4246613817906446,-0.4823583767803617,-0.56812920339466,-0.4450603165223901,-0.5057402837551627,-0.35920296246579875,-0.4090239662279287,-0.39087415115660384,-0.3624074832742259,-0.4681294823505962,-0.38545878533555533,-0.4404412094978639,-0.47823763939347913,-0.4029065383758553,5.562538461538457,5.386038461538463,3.226730769230769,5.293846153846155,5.388615384615386,3.2015769230769227,3.591730769230769,5.451500000000001,3.6802307692307683,-0.08342785552672204,-0.05543249092186446,-0.08522889462475992,-0.05719245988220245,-0.09348231326332272,-0.08022843931709919,-0.09844299501044762,-0.07704976087011431,-0.07630727516180032,0.06436950339179745,0.048425045426729166,0.1557308781877208,0.04655493732304262,0.06439404466112167,0.148957790245211,0.15338888170309517,0.08132200678953712,0.08777986552745887,0.33615975548529897
