data_freq,reb_freq,window,N,N_int,window_size,window_density,N_seeds,mu,std,SR,CR,VaR,ES,MDD,MDD_duration,min,max,equal_mu,min_var_mu,max_sharpe_mu,kde_mu,gmm_mu,kde_max_sharpe_mu,gmm_max_sharpe_mu,value_mu,markowitz_mu,equal_std,min_var_std,max_sharpe_std,kde_std,gmm_std,kde_max_sharpe_std,gmm_max_sharpe_std,value_std,markowitz_std,equal_SR,equal_SR_std,equal_SR_pen,min_var_SR,min_var_SR_std,min_var_SR_pen,max_sharpe_SR,max_sharpe_SR_std,max_sharpe_SR_pen,kde_SR,kde_SR_std,kde_SR_pen,gmm_SR,gmm_SR_std,gmm_SR_pen,kde_max_sharpe_SR,kde_max_sharpe_SR_std,kde_max_sharpe_SR_pen,gmm_max_sharpe_SR,gmm_max_sharpe_SR_std,gmm_max_sharpe_SR_pen,value_SR,value_SR_std,value_SR_pen,markowitz_SR,markowitz_SR_std,markowitz_SR_pen,equal_CR,min_var_CR,max_sharpe_CR,kde_CR,gmm_CR,kde_max_sharpe_CR,gmm_max_sharpe_CR,value_CR,markowitz_CR,equal_VaR,min_var_VaR,max_sharpe_VaR,kde_VaR,gmm_VaR,kde_max_sharpe_VaR,gmm_max_sharpe_VaR,value_VaR,markowitz_VaR,equal_ES,min_var_ES,max_sharpe_ES,kde_ES,gmm_ES,kde_max_sharpe_ES,gmm_max_sharpe_ES,value_ES,markowitz_ES,equal_MDD,min_var_MDD,max_sharpe_MDD,kde_MDD,gmm_MDD,kde_max_sharpe_MDD,gmm_max_sharpe_MDD,value_MDD,markowitz_MDD,equal_MDD_duration,min_var_MDD_duration,max_sharpe_MDD_duration,kde_MDD_duration,gmm_MDD_duration,kde_max_sharpe_MDD_duration,gmm_max_sharpe_MDD_duration,value_MDD_duration,markowitz_MDD_duration,equal_min,min_var_min,max_sharpe_min,kde_min,gmm_min,kde_max_sharpe_min,gmm_max_sharpe_min,value_min,markowitz_min,equal_max,min_var_max,max_sharpe_max,kde_max,gmm_max,kde_max_sharpe_max,gmm_max_sharpe_max,value_max,markowitz_max,SR*CR
daily,annual,1years,20,20,260,13.0,100,0.12210084191880635,0.19673170047849514,0.5190109074632957,1.6945077812386888,-0.2901194445507144,-0.4632159365290772,-0.3784347959220533,2.4739188034188033,-0.13432843856972398,0.09034679851072291,0.09953861234371388,0.10930514863672153,0.1336087207659081,0.11570375707508262,0.12090649489708617,0.13220879790375462,0.13667061220732235,0.10521553691206119,0.14574989652760673,0.18524953271853606,0.16220501976514531,0.2076278385719271,0.16727881286528187,0.2160523208088383,0.2016631311938175,0.23743416768485562,0.18620746569020524,0.20686701500784926,0.4291142203643538,0.06293760489421482,0.366176615470139,0.5493894247437606,0.09913274730299597,0.45025667744076464,0.5459631027645307,0.14496498403207625,0.4009981187324545,0.5700724281066223,0.09700148921909324,0.47307093888752905,0.46569009413136647,0.1701590298446465,0.29553106428671994,0.5546862977925388,0.13627135919338934,0.4184149385991494,0.4949119747446501,0.20711588669054976,0.28779608805410034,0.4565099528110961,0.05642079041991104,0.400089162391185,0.6047606717107421,0.12918884763634003,0.47557182407440207,1.1894340870573217,1.501717882730133,1.92465487097691,1.6282540799450047,1.603649399380092,1.9081381842382634,1.9600119021927915,1.3001578158955605,2.2345518087321246,-0.2748989772618101,-0.23539728021059037,-0.308132749019301,-0.24244246910474376,-0.3144445335715954,-0.30069135588456636,-0.3506640515185368,-0.2768798354484533,-0.3075237489368329,-0.44894684536530394,-0.3824233450982862,-0.48834208187986716,-0.3918225685230396,-0.49874702865748527,-0.47650125194996235,-0.5489893402576733,-0.4468422445624556,-0.4863287224676218,-0.3824968786217137,-0.34252695567929076,-0.39436536144853074,-0.3481706566364725,-0.37008193067291445,-0.38632464158415125,-0.42635078935016635,-0.3652743254110966,-0.39032162389414404,2.2540769230769233,1.8204230769230765,2.544384615384615,1.9971153846153846,3.6079230769230772,2.3210384615384614,3.7131153846153855,1.9831153846153853,2.0240769230769224,-0.12375727418980066,-0.12083799192926074,-0.14024808507919193,-0.12521425039215903,-0.14690770740079237,-0.1369166826325057,-0.1689264202420715,-0.11474207688115248,-0.13140545838058137,0.08525412583180252,0.07164657676051935,0.09960850696546839,0.0725549692864897,0.105684618500504,0.09372842147108151,0.10181395904188509,0.08373357437352108,0.09909643436523469,0.8794680212443077
monthly,annual,3years,20,20,36,1.8,110,0.12148054763239063,0.17810197853477466,0.5187153081518925,1.8259365026521932,-0.24589917887176987,-0.3346463351913533,-0.258828946724051,2.1457070707070707,-0.15141234330371878,0.17881502734973134,0.10082308612642046,0.10664052122787045,0.1325363852237291,0.12430564004719773,0.12907317615253563,0.1302288412220928,0.12893156365496014,0.10636115333836613,0.13442456169834333,0.17238213283609163,0.1603521483913961,0.1909818806919244,0.16405667548007896,0.1776731393126835,0.17467129746344448,0.19918095844796638,0.1701589721351697,0.19346060205421658,0.4384181374138392,0.06845695952209008,0.36996117789174915,0.48328103985667215,0.11251217846673645,0.3707688613899357,0.5304753603635401,0.1405829480241507,0.3898924123393894,0.5772434678793231,0.1296770117617939,0.4475664561175292,0.556027464337389,0.18059336387680017,0.3754341004605889,0.5754498262207239,0.11694587543500884,0.4585039507857151,0.4897693609136349,0.13811085745613702,0.35165850345749783,0.4843633513730822,0.0641976142451464,0.42016573712793576,0.5334097650088276,0.13962945446798558,0.39378031054084206,1.3152602206097128,1.515390725850844,2.063653998562451,1.952544373016761,2.0649339994187175,2.0580989473138773,1.9156089959018492,1.4476927619873134,2.100244501208213,-0.23195573530239288,-0.22485812240477873,-0.26323686286007136,-0.22785638401363112,-0.2454274120942442,-0.2423482428024562,-0.27367145437618945,-0.22963256619399516,-0.27410582979816955,-0.3307039207614654,-0.32336423956399635,-0.3500971313543729,-0.3173506131817975,-0.3357197438761328,-0.31530374010693135,-0.3709005524071845,-0.31214532018875596,-0.3562317552815427,-0.27243385857984015,-0.23889081263021716,-0.27072523550637506,-0.2244964079078214,-0.25940113445110097,-0.2501385768934301,-0.2817079080384487,-0.24661691808683003,-0.2850496684223952,1.9946969696969699,2.017424242424243,2.2818181818181817,1.8022727272727272,2.431060606060605,1.8636363636363633,2.5446969696969695,1.8295454545454548,2.5462121212121214,-0.18262768360690573,-0.14775556846629137,-0.15176989916668787,-0.1418470864518699,-0.14417154706227936,-0.13681004259783727,-0.15459909203692013,-0.15468410209621578,-0.14844606824846177,0.20619984461099272,0.150120719409271,0.18404607599664197,0.16601057565792746,0.15859256685045964,0.16587804145967017,0.183316179374422,0.19923851194538572,0.1959327308428114,0.9471412156390212
daily,annual,1years,30,30,260,8.666666666666666,100,0.11985277588797844,0.19442546005204148,0.5151750437922888,1.6532509420551231,-0.28800681484217416,-0.4588003089519368,-0.3812030140299737,2.478713675213675,-0.1337887893303298,0.08847328958561225,0.10021894416721885,0.10526463240458935,0.13499334832515586,0.11199471483482362,0.11217292458954095,0.13411628885811638,0.1250246507359826,0.10476108584487445,0.15012839323150373,0.18454446365570992,0.15729610681321046,0.20147148201713924,0.16316295783767074,0.21765668705543986,0.196909023541342,0.23796306247918125,0.1852870764962169,0.20553828057246296,0.43402509356200303,0.03745350901159824,0.3965715845504048,0.5410218146223581,0.07269961501497627,0.46832219960738186,0.5681306472676574,0.1169682708788745,0.45116237638878287,0.5622811038427021,0.0965212806195851,0.46575982322311704,0.42280629582893153,0.1586762580367637,0.2641300377921678,0.576705983740768,0.1110157559431598,0.46569022779760816,0.44569667065711654,0.1995072891768603,0.24618938148025624,0.4562569410018259,0.03433187677511324,0.42192506422671266,0.6296508436072374,0.1185621115288269,0.5110887320784105,1.2058572795630291,1.4282694841606591,1.9743369354316416,1.5685495518203867,1.3945519340826718,1.9696062284572213,1.6696220229060186,1.2959883431639503,2.3724766989105297,-0.27436981921600384,-0.22801962409844542,-0.3016243777662417,-0.23541251383585834,-0.31795407802385817,-0.29542199109999334,-0.35714956810033915,-0.27407098037074745,-0.30803838106807946,-0.4485360991676061,-0.37193154724655314,-0.47241071316470273,-0.3822674033905092,-0.5094437278208207,-0.4637639460703102,-0.5526219752261475,-0.44640251298913924,-0.48182485549164283,-0.386123813478328,-0.33788475712338467,-0.3924975584105483,-0.3465574307036095,-0.3772529424169634,-0.3854180167072379,-0.43662523543999965,-0.37047408488855565,-0.3979932871011362,1.9585769230769228,1.804846153846154,2.385192307692307,1.9899230769230767,3.8306923076923063,2.265115384615384,4.091500000000001,1.9248846153846149,2.057692307692307,-0.1254608420098928,-0.11941297642985377,-0.1403766527720226,-0.12584029479876763,-0.14259418073481167,-0.13827575839603543,-0.16464476078178103,-0.11702074165187253,-0.13047289639793067,0.0862768376192847,0.06839938929340024,0.09810789645404337,0.07165700431184308,0.10514467390772302,0.09412051293528856,0.09366879339022947,0.0851233107602794,0.09376118759841828,0.8517136264728908
weekly,annual,1years,30,30,52,1.7333333333333334,100,0.12128670117623698,0.19669210170340326,0.5134880020478598,1.7388876242952938,-0.28248381551973994,-0.4487385412569874,-0.34342681182043877,2.513504273504273,-0.21176114207725732,0.10689263809277977,0.09964523837945617,0.10445016308472019,0.13895036151508142,0.11835655674023596,0.10510059460594576,0.13620521507929959,0.13101558470705046,0.10393944363812395,0.15391715283621943,0.18780936975588272,0.16944044804917544,0.20676392073834798,0.1771585648914612,0.20452642453655656,0.199035871938309,0.22710582357058018,0.18739551919428482,0.21099297265603167,0.4292283893165677,0.036460421810629265,0.39276796750593845,0.4978839579221415,0.0918476253283634,0.40603633259377814,0.5709741715299036,0.15841855586565237,0.41255561566425125,0.5503963988711829,0.11797882520532817,0.4324175736658547,0.4206426483373323,0.23039896805727716,0.19024368028005512,0.579213364422362,0.13097242543522314,0.4482409389871389,0.49113320761906976,0.218706976615324,0.27242623100374574,0.45176254379785236,0.033640379533540224,0.41812216426431215,0.6301573366143259,0.12772312704325192,0.502434209571074,1.1960770527573557,1.3927146626648557,2.140865573512104,1.699676521886078,1.4145651968829125,2.067046880617295,1.9467684976030402,1.2878857020255945,2.5043885307084097,-0.27459271881772707,-0.24658268047769752,-0.2990048256590987,-0.2473257937149901,-0.2864585155173067,-0.28716326134269166,-0.3157028216196858,-0.28186479831575756,-0.3036589242127042,-0.435244943596216,-0.39494640296146144,-0.4708532796787647,-0.3995263096863157,-0.46590963850911427,-0.45727077298248014,-0.510034678795322,-0.4316246873247803,-0.47323615777843187,-0.3473508276353311,-0.3034324209461495,-0.3501684359362037,-0.3122421206465084,-0.3782956638082422,-0.3322656452107786,-0.4025503212563561,-0.32990026825581514,-0.33463560268856424,2.023846153846156,1.952692307692308,2.7446153846153845,2.171923076923077,3.134807692307691,2.2896153846153844,4.000961538461538,1.9725000000000008,2.3305769230769235,-0.2071454746123264,-0.2064117172738379,-0.22206028184374252,-0.213615884083836,-0.21174329916452003,-0.21622093587913074,-0.22083425854308097,-0.19529769463896735,-0.21252073265587398,0.11209011869922472,0.08592649516827358,0.1092019325996109,0.08799262199420964,0.11540437601890487,0.10171761803484211,0.12892809816937809,0.1024272443544752,0.11834523779609889,0.8928979319851399
weekly,annual,1years,10,10,52,5.2,100,0.12498666583864439,0.20323807860344875,0.5126733661322095,1.8104112714133285,-0.29464220839601674,-0.4637855091347064,-0.3454255156371799,2.522799145299145,-0.2042665777199476,0.11435630224255185,0.1008695043421304,0.11352181229927723,0.13851115395750221,0.12234129342892959,0.1293452223029399,0.13219154919341208,0.1414090967268131,0.10671354198607316,0.13997681831072165,0.19391055060715803,0.1820572426617875,0.21451074868162373,0.18731286970417127,0.21280069215198005,0.20544540913605325,0.22493196439558674,0.19573085298809675,0.21244237710458144,0.42265425981844396,0.09601832318880421,0.32663593662963974,0.5102079170301558,0.13523012445401159,0.37497779257614416,0.5475226894208882,0.16204214376490092,0.38548054565598733,0.5423361265438578,0.16782416080592422,0.37451196573793355,0.5084645719740294,0.23344426172858013,0.27502031024544926,0.5412892062497687,0.1520809560458751,0.3892082502038936,0.5351397868544834,0.18713103038429776,0.3480087564701856,0.44717949585461547,0.10025047346972348,0.346929022384892,0.5592662414436432,0.1535842658853521,0.4056819755582911,1.218732329331174,1.584374866190914,2.0928708667301485,1.808930591146391,1.9961947616381592,1.9565034862235617,2.168827744554186,1.3382831597861926,2.1289836371192297,-0.2837233706257498,-0.2608158672212719,-0.31143142600973883,-0.26819635417528637,-0.3059333040816946,-0.2999205817278288,-0.3265617987472376,-0.287058934261037,-0.30813823871430623,-0.4495427157554569,-0.4185737267006111,-0.4870220746455566,-0.43115927834065176,-0.47990301309538563,-0.47028198522807985,-0.507866425108571,-0.44905622707356463,-0.4806641362644799,-0.35646556414853486,-0.3158243002359791,-0.35284891245639494,-0.3147582065336953,-0.35937233589582057,-0.3416863874681425,-0.37658126996701874,-0.34129195272577995,-0.35000071130325294,2.720192307692307,2.0794230769230775,2.6838461538461535,2.163846153846154,2.9061538461538476,2.414423076923077,2.9175000000000004,2.4467307692307694,2.3730769230769244,-0.20767425801323597,-0.20350129247570223,-0.20549055509465736,-0.20349741115525632,-0.2092687305371169,-0.1993759178136801,-0.20712768358345207,-0.19697842932136816,-0.20548492148505942,0.11506059887500913,0.10155887989271464,0.11873394315180386,0.10082471684477509,0.123155882471983,0.10866505427592507,0.12849784588949453,0.10951396187725067,0.12319583690401076,0.9281496405991643
weekly,annual,1years,20,20,52,2.6,100,0.12194061476723188,0.1985851263002528,0.5119424256759632,1.7406146877502897,-0.2874187950854524,-0.45351516833703415,-0.34083027916389846,2.516175213675213,-0.2087939050123379,0.10821450558990812,0.0985167058645499,0.11166194565695427,0.13598435352722194,0.11980141160464436,0.11547489275855717,0.1316762997224239,0.13068996667920907,0.10393900184868976,0.14972095524283638,0.18764908561774735,0.1730267358705273,0.2112137834885709,0.17974299103513808,0.20946516759685058,0.20106527045964204,0.2278578645106313,0.1875466567948198,0.2096985813283477,0.4238953250770642,0.06111440792160111,0.36278091715546307,0.5267924044868143,0.08885994129376228,0.437932463193052,0.5469786457227678,0.1692436148315,0.3777350308912678,0.5511870429426409,0.12505085266082744,0.42613619028181343,0.4541342878705115,0.22835098707560045,0.22578330079491107,0.5514132258738413,0.14331950622106648,0.40809371965277486,0.4870018173625331,0.1974372745097247,0.2895645428528084,0.45132986335395414,0.05516432596366693,0.3961655373902872,0.6147492183935409,0.14521907880908913,0.4695301395844518,1.1806386979608374,1.5411440093689788,2.0451201060284605,1.7288258710640818,1.6419653316379914,1.948955241623412,1.8764732384367973,1.2931941831936087,2.40921551043844,-0.2766042400969375,-0.248256850127974,-0.3045874558716664,-0.25586498967484933,-0.2975945909721118,-0.29189720129041363,-0.32666292127655183,-0.2814938899797643,-0.30380701647880254,-0.4358288741135909,-0.40120298846680763,-0.4795485868985642,-0.4105880905655889,-0.4776345337129814,-0.4611187027495138,-0.5122472803890622,-0.4320059510980894,-0.4714615070391082,-0.342756684028857,-0.30565724949736456,-0.35149271888722744,-0.30917570683697426,-0.374651626765479,-0.33424656213139625,-0.3906450722895082,-0.3248397918297013,-0.33400710020857843,2.2392307692307707,1.9599999999999997,2.835769230769231,2.0740384615384597,3.0992307692307697,2.4359615384615383,3.7923076923076904,2.0686538461538477,2.140384615384616,-0.20554932110765997,-0.20609317464239474,-0.2172609490386976,-0.20988077387352067,-0.20948022006511566,-0.20842785691522117,-0.2245049657557694,-0.19275400653778163,-0.20519387717488027,0.11131475863494752,0.0914421555158367,0.11480650909586843,0.09218850917237612,0.11797647437204435,0.10428807910289577,0.12837025348035627,0.10033988260852925,0.11320392832631869,0.8910945054140925
daily,annual,1years,10,10,260,26.0,100,0.12176075040531938,0.20341352617641173,0.4980473399557865,1.6734843280324112,-0.30119826418831047,-0.47763707011085343,-0.388802512781935,2.626239316239316,-0.13212485364723006,0.09339922964757381,0.10200327489371025,0.10485190165472202,0.13717168775182553,0.10790282321011248,0.11867436827668733,0.13420312699431894,0.14713602230227685,0.10818926213445673,0.13571428642976427,0.19187684756923715,0.17507876419842663,0.21604138273979057,0.17822637520837634,0.21701831632684743,0.21039848848037102,0.2364612512400176,0.19469918058945598,0.21092112923518286,0.4286370740920441,0.0991176628448742,0.3295194112471699,0.48627904950602785,0.14383386602768866,0.3424451834783392,0.5398863534376162,0.15413113341711326,0.3857552200205029,0.4942924999456395,0.14560916332215132,0.34868333662348816,0.4570648017991551,0.23202258513778842,0.22504221666136667,0.5403489253665057,0.14621667349417547,0.39413225187233025,0.5359113993944099,0.1912188328942504,0.3446925665001595,0.45329461874280225,0.10317448555012032,0.3501201331926819,0.5467113373178774,0.14188487186123647,0.4048264654566409,1.2231236400876329,1.3762857766191388,1.9759968636976977,1.4335446977816775,1.6472888948149955,1.9191033479294055,2.194961921169641,1.3419540978498319,1.9490997123416816,-0.2835269542943206,-0.25776433427415135,-0.3206651925812804,-0.26376715360706576,-0.3195696677355865,-0.3141403266696171,-0.3484914075553649,-0.2912267238116673,-0.31163261716574064,-0.46069215972682964,-0.41272357985747254,-0.5060002880975202,-0.41898457527893024,-0.5008303204074875,-0.49552920456415206,-0.5453435088537173,-0.46345172478716196,-0.4951782694244097,-0.39464375609712815,-0.36125696688439624,-0.39622687030940923,-0.3640247861318226,-0.39979472229657675,-0.38719569624746647,-0.4162626742646559,-0.3812788582924654,-0.39853828451349393,2.7016923076923067,2.374461538461539,2.5799615384615384,2.501923076923077,3.388576923076923,2.4735384615384612,2.9017307692307686,2.446115384615385,2.2681538461538464,-0.1250068166969539,-0.12286525697627101,-0.1386812784759546,-0.12421309207253689,-0.13709197030754947,-0.1345287533382873,-0.15572332095299754,-0.11741479091570488,-0.13359840308881496,0.0883968078763387,0.08097528767208964,0.09852157116413407,0.07984962171714889,0.10502209592023651,0.0928622109946871,0.10593758306808101,0.08670239900274275,0.10232548941270574,0.8334744180342392
monthly,annual,6months,5,5,6,1.2,110,0.1264710820162492,0.2052331858376636,0.4971044223403176,1.899956794246067,-0.2711872746760512,-0.39739122317639664,-0.3372011106639734,3.0606902356902355,-0.19560315941493123,0.21622937350152732,0.10555028533573553,0.11759652411392701,0.13854671176874925,0.1269661750756432,0.1277573876570664,0.13885203943343333,0.13888552263967466,0.11058548596717326,0.13349960615484024,0.18672227082786502,0.20052485558746588,0.21440574141329907,0.19831825074998893,0.21025661783342758,0.20622477847421186,0.21437486963453248,0.18855381677970645,0.22771747123847494,0.4364667148987628,0.18789821152713454,0.24856850337162828,0.4871492234876079,0.24250021813333658,0.24464900535427134,0.525926959476752,0.20375325931351543,0.32217370016323665,0.512794678354241,0.19263718778903674,0.32015749056520426,0.4875800243700222,0.20199245084667522,0.28558757352334696,0.5474822024346503,0.20294264927249425,0.344539553162156,0.527332856193229,0.20154038512867462,0.3257924710645544,0.4637598520005039,0.182233045315284,0.2815268066852199,0.4854472898470894,0.21376916593906678,0.2716781239080226,1.4481505501667613,1.7455129506378997,2.1656031674196368,1.9186729443436463,1.8945872369406005,2.220034666996599,2.1711774645740314,1.5500042255684114,1.9858679415670144,-0.2504267541038173,-0.27586493077375757,-0.2819434891794968,-0.2578469450969153,-0.27662831524057035,-0.26606697214545444,-0.2818655537627327,-0.2516591312284976,-0.2983833805532185,-0.35716565688150487,-0.40372463317123325,-0.41788382971187166,-0.3835323722420773,-0.4053113192332979,-0.39782832732164125,-0.41781018411270654,-0.34827642059046904,-0.44498826532276814,-0.31159304535490356,-0.33799227178087227,-0.35052405544023746,-0.3192348939623675,-0.3460705809080235,-0.3384695045621268,-0.34956426118378053,-0.2913212563823777,-0.39004012640107144,3.333333333333333,3.266666666666666,2.9871212121212114,2.790151515151514,3.12348484848485,2.820454545454545,2.9575757575757575,3.075757575757576,3.191666666666667,-0.1835877255313018,-0.1863660792861214,-0.20155270713963822,-0.191789179312709,-0.20269333192120867,-0.19664900228229634,-0.201552593154336,-0.16806995087112483,-0.22816786523564486,0.21626202919877854,0.20145254765419332,0.21616544465953944,0.20397838236776103,0.21709223874791864,0.20760668553209685,0.21616461668685286,0.2127442981526358,0.2545981185139693,0.9444769246752528
daily,annual,5years,20,20,1300,65.0,100,0.11746262326599011,0.20046941873200386,0.4932126827559294,1.559799333427048,-0.2950011473780375,-0.468206238431521,-0.38132880739491526,2.358636752136752,-0.1270842822695472,0.09074970366406258,0.09953861234371388,0.12768962353747373,0.126492072397548,0.10801583116486686,0.12139953185581077,0.1233145319935468,0.1192698684584094,0.10521553691206119,0.12622800073048046,0.18524953271853606,0.1654063217273865,0.20498986245145862,0.17847130893516472,0.22507384895503882,0.19979570770267607,0.26838552624498807,0.18620746569020524,0.1906451941625808,0.4291142203643538,0.06293760489421482,0.366176615470139,0.6481772658639557,0.110509572097429,0.5376676937665268,0.5160801744395546,0.11649154528374493,0.3995886291558096,0.4942634177897957,0.1293698957364924,0.3648935220533033,0.45166916499623505,0.1824656782850628,0.2692034867111722,0.5139990341038773,0.10666196493072029,0.407337069173157,0.37431844373151324,0.20770488431428957,0.16661355941722367,0.4565099528110961,0.05642079041991104,0.400089162391185,0.5547824707029829,0.10238529725721672,0.4523971734457662,1.1894340870573217,1.9423465475416606,1.72916817134697,1.4283701127307302,1.5980802210211293,1.6704905049032928,1.3988032503397463,1.3001578158955605,1.7813432900070187,-0.2748989772618101,-0.2412232448126784,-0.30799586190250255,-0.26565092606548846,-0.3214615439974951,-0.29977430470190963,-0.38730238696862224,-0.2768798354484533,-0.27982324524337754,-0.44894684536530394,-0.38626077859669666,-0.4767531553655179,-0.4108445237555688,-0.5124027234440018,-0.46583238928253934,-0.6213018202683223,-0.4468422445624556,-0.44467166524328283,-0.3824968786217137,-0.3304447497754903,-0.3799829769236292,-0.3322652155698628,-0.4117096419409584,-0.3742335626622876,-0.48442210717740225,-0.3652743254110966,-0.37112980847179666,2.2540769230769233,1.6725000000000003,2.3205,2.1743461538461535,2.8627307692307693,2.3405769230769233,3.5218461538461536,1.9831153846153853,2.098038461538463,-0.12375727418980066,-0.11742375023648462,-0.1264812736004126,-0.10225033259682226,-0.14179612866201913,-0.12517342130695286,-0.1653226281263059,-0.11474207688115248,-0.12681165482597428,0.08525412583180252,0.07412015279770588,0.087107778100523,0.07094988356050444,0.11196312379573647,0.08514747676988348,0.13275425651788722,0.08373357437352108,0.08571696122899906,0.7693128138004647
monthly,annual,1years,20,20,12,0.6,110,0.11476114465024108,0.18344129844761928,0.4930263952500467,1.6433601520588867,-0.2540680590782349,-0.3630720963436944,-0.284554102848311,2.5857744107744107,-0.17124403799709553,0.18035781240605303,0.10082308612642046,0.09003299830819385,0.1152774993522698,0.11778087314942619,0.12351990235394271,0.12326316205016731,0.10989928592641049,0.10636115333836613,0.1458923412469729,0.17238213283609163,0.17744765736064663,0.19342615893952347,0.1791961392365564,0.18740908723168176,0.17533369617809913,0.19450181154806834,0.1701589721351697,0.20111603056273641,0.4384181374138392,0.06845695952209008,0.36996117789174915,0.3781260384254517,0.13601494056419644,0.2421110978612553,0.4678937029818132,0.13879414127522816,0.32909956170658505,0.5223307961940707,0.13125390514520138,0.39107689104886934,0.5344542305112455,0.1702458604561164,0.3642083700551291,0.5592149011015026,0.11834596008215523,0.44086894101934737,0.43989396069881825,0.1507113593135254,0.28918260138529284,0.4843633513730822,0.0641976142451464,0.42016573712793576,0.6125424385505972,0.15657278361141622,0.45596965493918096,1.3152602206097128,1.1080726993003336,1.5968393246458799,1.7147645686436137,1.8602574099922644,1.860612885444449,1.480740149121602,1.4476927619873134,2.4060013487848138,-0.23195573530239288,-0.2509318319395267,-0.26678756339145876,-0.25189485238465975,-0.25558162738527396,-0.24687344361413063,-0.2713127474964199,-0.22963256619399516,-0.28164216399625613,-0.3307039207614654,-0.3622699126920941,-0.39788453604447965,-0.3574835433884893,-0.3657722136706224,-0.3468701987846391,-0.4009482156035124,-0.31214532018875596,-0.39357100595919176,-0.27243385857984015,-0.304701237381093,-0.3007473657824404,-0.27763552941858577,-0.30034696458656707,-0.25089059083470894,-0.3048174461344077,-0.24661691808683003,-0.30279701483032617,1.9946969696969699,3.5848484848484845,2.7189393939393938,2.7257575757575756,2.831818181818182,2.163636363636364,2.995454545454547,1.8295454545454548,2.4272727272727272,-0.18262768360690573,-0.17962415003172288,-0.18531470676366305,-0.16332952311192453,-0.16673711590105478,-0.14882281848149823,-0.1854514215672993,-0.15468410209621578,-0.1746048204135753,0.20619984461099272,0.16411101203161652,0.17849627596162762,0.1716821603140169,0.17110515402874169,0.16854830158075418,0.17583316671687318,0.19923851194538572,0.18800588446446864,0.8102199318671616
