index,data_freq,reb_freq,window,N,seed_count
FTSE100,daily,annual,10years,10,100
FTSE100,daily,annual,10years,20,100
FTSE100,daily,annual,10years,30,100
FTSE100,daily,annual,10years,5,100
FTSE100,daily,annual,10years,max,1
FTSE100,daily,annual,1months,10,100
FTSE100,daily,annual,1months,20,100
FTSE100,daily,annual,1months,30,100
FTSE100,daily,annual,1months,5,100
FTSE100,daily,annual,1months,max,1
FTSE100,daily,annual,1years,10,100
FTSE100,daily,annual,1years,20,100
FTSE100,daily,annual,1years,30,100
FTSE100,daily,annual,1years,5,100
FTSE100,daily,annual,1years,max,1
FTSE100,daily,annual,3months,10,100
FTSE100,daily,annual,3months,20,100
FTSE100,daily,annual,3months,30,100
FTSE100,daily,annual,3months,5,100
FTSE100,daily,annual,3months,max,1
FTSE100,daily,annual,3years,10,100
FTSE100,daily,annual,3years,20,100
FTSE100,daily,annual,3years,30,100
FTSE100,daily,annual,3years,5,100
FTSE100,daily,annual,3years,max,1
FTSE100,daily,annual,5years,10,100
FTSE100,daily,annual,5years,20,100
FTSE100,daily,annual,5years,30,100
FTSE100,daily,annual,5years,5,100
FTSE100,daily,annual,5years,max,1
FTSE100,daily,annual,6months,10,100
FTSE100,daily,annual,6months,20,100
FTSE100,daily,annual,6months,30,100
FTSE100,daily,annual,6months,5,100
FTSE100,daily,annual,6months,max,1
FTSE100,daily,monthly,10years,10,100
FTSE100,daily,monthly,10years,20,100
FTSE100,daily,monthly,10years,30,100
FTSE100,daily,monthly,10years,5,100
FTSE100,daily,monthly,10years,max,1
FTSE100,daily,monthly,1months,10,100
FTSE100,daily,monthly,1months,20,110
FTSE100,daily,monthly,1months,30,104
FTSE100,daily,monthly,1months,5,100
FTSE100,daily,monthly,1months,max,1
FTSE100,daily,monthly,1years,10,100
FTSE100,daily,monthly,1years,20,200
FTSE100,daily,monthly,1years,30,103
FTSE100,daily,monthly,1years,5,100
FTSE100,daily,monthly,1years,max,1
FTSE100,daily,monthly,3months,10,100
FTSE100,daily,monthly,3months,20,110
FTSE100,daily,monthly,3months,30,100
FTSE100,daily,monthly,3months,5,100
FTSE100,daily,monthly,3months,max,1
FTSE100,daily,monthly,3years,10,156
FTSE100,daily,monthly,3years,20,200
FTSE100,daily,monthly,3years,30,100
FTSE100,daily,monthly,3years,5,100
FTSE100,daily,monthly,3years,max,1
FTSE100,daily,monthly,5years,10,100
FTSE100,daily,monthly,5years,20,100
FTSE100,daily,monthly,5years,30,100
FTSE100,daily,monthly,5years,5,195
FTSE100,daily,monthly,5years,max,1
FTSE100,daily,monthly,6months,10,100
